º€«œ¿œ,gesture,real,LR,match,FA1,FA2,FA3,FA4,FA5,FD1,FD2,FD3,FD4,FD5,HA1,HA2,HA3,HA4,HA5,result1,result2,result3,result4,result5
1,1,1,R,TRUE,2.412,0.525,0.58,0.782,1.025,1.34,0.568,0.555,0.738,1.188,0.899,2.372,2.33,2.341,2.483,0,0,0,0,0
2,2,2,R,TRUE,3.072,0.382,0.589,0.695,0.988,2.002,0.693,0.59,0.682,1.179,0.215,2.874,2.387,2.365,2.469,1,0,0,0,0
3,3,3,R,TRUE,3.097,2.962,0.815,0.866,0.983,1.791,2.217,0.816,0.836,1.027,0.214,0.483,2.163,2.083,1.984,1,1,0,0,0
4,4,4,R,TRUE,2.975,3.078,3.043,0.821,1.063,1.589,2.107,2.255,1.133,1.345,0.205,0.22,0.329,2.096,1.849,1,1,1,0,0
5,5,5,R,TRUE,3.038,3.034,3.082,3.034,1.343,1.776,2.216,2.187,2.255,1.793,0.322,0.171,0.12,0.15,1.995,1,1,1,1,0
6,6,6,R,TRUE,2.957,3.015,2.918,2.978,3.063,1.825,2.232,2.292,2.34,2.301,0.28,0.23,0.138,0.08,0.025,1,1,1,1,1
7,7,7,R,TRUE,1.943,3.013,3.084,3.058,3.019,0.747,2.308,2.342,2.445,2.272,1.31,0.219,0.116,0.121,0.012,0,1,1,1,1
8,8,8,R,TRUE,2.594,1.082,2.913,3.013,3.031,0.966,1.259,2.182,2.314,2.362,0.775,1.737,0.101,0.073,0.059,0,0,1,1,1
9,9,9,R,TRUE,2.542,0.327,1.007,2.927,2.922,0.732,0.717,1.228,1.811,2.279,0.844,2.855,2.282,0.254,0.162,0,0,0,1,1
10,10,10,R,TRUE,2.658,0.914,1.121,0.8,3.063,1.227,1.179,1.382,1.183,2.131,0.736,2.46,2.432,2.545,0.09,0,0,0,0,1
11,11,11,R,TRUE,2.236,3.033,3.032,1.229,1.254,0.816,2.161,2.293,1.359,1.313,1.012,0.268,0.293,1.901,1.748,0,1,1,0,0
12,12,12,R,TRUE,2.985,3.089,1.242,1.127,2.952,1.801,2.252,1.658,1.545,2.275,0.462,0.464,2.535,2.45,0.238,1,1,0,0,1
13,13,13,R,TRUE,2.404,2.998,1.182,1.066,0.855,0.928,2.15,1.104,1.072,1.102,0.858,0.421,1.951,2.061,2.013,0,1,0,0,0
14,14,14,R,TRUE,2.015,2.918,3.059,3.013,1.336,0.476,2.266,2.334,2.565,1.996,1.303,0.212,0.075,0.117,2.107,0,1,1,1,0
15,1,1,R,TRUE,2.377,0.463,0.495,0.681,0.899,1.207,0.486,0.476,0.637,0.965,0.864,2.362,2.118,2.182,2.216,0,0,0,0,0
16,2,2,R,TRUE,3.01,0.731,0.89,0.918,1.415,1.968,1.351,0.853,0.857,1.369,0.232,2.893,2.424,2.424,2.324,1,0,0,0,0
17,3,3,R,TRUE,2.982,2.856,1.144,1.146,1.47,1.92,2.288,0.989,0.956,1.305,0.087,0.436,2.136,2.072,2.136,1,1,0,0,0
18,4,4,R,TRUE,2.973,3.022,3.06,1.143,1.563,1.649,2.137,2.206,1.713,2.203,0.167,0.165,0.272,2.291,2.146,1,1,1,0,0
19,5,5,R,TRUE,3.084,3.034,3.069,2.963,1.412,1.799,2.205,2.202,2.26,2.056,0.264,0.125,0.091,0.107,2.157,1,1,1,1,0
20,6,6,R,TRUE,2.986,2.986,2.892,2.982,3.076,1.818,2.254,2.282,2.324,2.296,0.251,0.226,0.131,0.082,0.031,1,1,1,1,1
21,7,7,R,TRUE,1.942,3.048,3.089,3.05,2.997,0.676,2.302,2.333,2.431,2.285,1.337,0.231,0.125,0.131,0.015,0,1,1,1,1
22,8,8,R,TRUE,2.575,1.155,2.908,2.986,2.986,0.961,1.341,2.306,2.337,2.349,0.767,1.806,0.119,0.096,0.139,0,0,1,1,1
23,9,9,R,TRUE,2.645,0.528,1.169,2.918,2.902,0.795,0.979,1.379,1.757,2.29,0.747,2.612,2.151,0.282,0.257,0,0,0,1,1
24,10,10,R,TRUE,2.623,1.136,1.217,0.948,2.693,1.12,1.498,1.732,1.468,2.099,0.818,2.422,2.494,2.576,0.132,0,0,0,0,1
25,11,11,R,TRUE,2.29,3.045,3.034,1.163,1.213,0.818,2.195,2.259,1.345,1.329,0.979,0.299,0.309,1.99,1.854,0,1,1,0,0
26,12,12,R,TRUE,2.975,3.055,1.282,1.127,2.845,1.703,2.348,1.647,1.542,2.185,0.454,0.564,2.436,2.456,0.25,1,1,0,0,1
27,13,13,R,TRUE,2.5,2.989,1.098,1.107,1.16,1.031,2.097,0.979,1.033,1.438,0.766,0.41,1.867,2.036,2.091,0,1,0,0,0
28,14,14,R,TRUE,2.17,3.004,3.067,2.978,1.527,0.668,2.326,2.356,2.407,2.165,1.124,0.269,0.119,0.103,2.152,0,1,1,1,0
29,1,1,R,TRUE,2.433,0.38,0.454,0.725,1.094,1.236,0.422,0.438,0.675,1.12,0.81,2.485,2.173,2.165,2.179,0,0,0,0,0
30,2,2,R,TRUE,3.055,0.749,0.834,0.884,1.337,1.962,1.032,0.83,0.891,1.461,0.157,2.615,2.467,2.541,2.529,1,0,0,0,0
31,3,3,R,TRUE,2.998,2.815,1.209,1.144,1.495,1.839,2.319,1.044,1,1.361,0.108,0.411,2.237,2.284,2.273,1,1,0,0,0
32,4,4,R,TRUE,2.976,3.03,3.049,1.215,1.599,1.689,2.182,2.228,1.658,2.031,0.206,0.177,0.26,2.303,2.226,1,1,1,0,0
33,5,5,R,TRUE,3.053,3.047,3.058,3.001,1.539,1.743,2.198,2.21,2.322,2.433,0.311,0.132,0.095,0.061,2.272,1,1,1,1,0
34,6,6,R,TRUE,2.986,3.018,2.926,2.996,3.079,1.804,2.261,2.283,2.329,2.286,0.27,0.226,0.118,0.072,0.055,1,1,1,1,1
35,7,7,R,TRUE,2.002,3.067,3.079,3.043,3.008,0.67,2.325,2.352,2.436,2.3,1.255,0.22,0.112,0.094,0.066,0,1,1,1,1
36,8,8,R,TRUE,2.577,1.157,2.875,2.985,2.952,0.912,1.353,2.205,2.304,2.325,0.747,1.807,0.17,0.117,0.127,0,0,1,1,1
37,9,9,R,TRUE,2.676,0.494,1.192,2.764,2.928,0.918,0.837,1.407,1.674,2.319,0.724,2.488,2.115,0.366,0.235,0,0,0,1,1
38,10,10,R,TRUE,2.716,0.974,1.149,0.882,2.813,1.262,1.385,1.797,1.484,2.162,0.693,2.407,2.443,2.497,0.138,0,0,0,0,1
39,11,11,R,TRUE,2.259,3.069,3.022,1.446,1.413,0.768,2.188,2.259,1.77,1.686,1,0.259,0.312,2.044,1.916,0,1,1,0,0
40,12,12,R,TRUE,2.893,3.129,1.273,1.158,2.936,1.671,2.243,1.679,1.559,2.209,0.495,0.477,2.456,2.384,0.219,1,1,0,0,1
41,13,13,R,TRUE,2.406,3.001,1.562,1.487,1.888,0.89,2.168,1.432,1.426,1.949,0.84,0.435,2.101,2.245,2.24,0,1,0,0,0
42,14,14,R,TRUE,2.1,3.016,3.014,3.053,1.716,0.604,2.328,2.347,2.364,2.137,1.236,0.279,0.179,0.171,2.061,0,1,1,1,0
43,1,1,L,TRUE,2.252,1.598,1.691,1.582,2.396,1.183,1.458,1.185,1.151,1.467,0.962,2.46,2.294,2.508,2.52,0,0,0,0,0
44,2,2,L,TRUE,2.92,2.269,2.023,1.862,2.673,1.955,1.317,1.167,1.149,1.259,0.41,1.815,1.804,1.996,1.705,1,0,0,0,0
45,3,3,L,TRUE,2.804,2.757,1.856,1.284,1.986,1.828,1.211,1.111,0.977,1.36,0.283,0.732,1.955,2.245,2.347,1,1,0,0,0
46,4,4,L,TRUE,2.967,2.965,2.701,1.931,2.064,1.693,2.153,1.564,1.433,1.431,0.191,0.173,0.704,2.121,2.232,1,1,1,0,0
47,6,5,L,FALSE,2.963,3.015,2.99,2.944,2.146,1.686,2.159,2.304,2.221,1.724,0.357,0.279,0.195,0.359,1.002,1,1,1,1,0
48,6,6,L,TRUE,2.976,3.028,3.063,3.087,3.128,1.807,2.21,2.269,2.339,2.201,0.372,0.161,0.121,0.026,0.049,1,1,1,1,1
49,7,7,L,TRUE,1.728,2.955,3.111,3.022,3.015,0.664,2.198,2.29,2.439,2.354,1.495,0.137,0.134,0.036,0.149,0,1,1,1,1
50,8,8,L,TRUE,2.179,1.617,2.984,3.087,3.041,1.125,1.967,2.221,2.259,2.278,1.05,1.861,0.22,0.101,0.11,0,0,1,1,1
51,10,9,L,FALSE,2.347,1.523,1.528,2.059,2.98,0.894,1.796,1.762,1.201,2.178,1.016,1.989,2.006,0.744,0.148,0,0,0,1,1
52,0,10,L,FALSE,2.175,1.93,1.794,1.463,2.957,0.926,2.516,2.433,2.113,2.09,1.025,2.244,2.264,2.174,0.136,0,0,0,0,1
53,11,11,L,TRUE,1.832,2.882,2.747,1.818,2.025,1.147,2.222,2.272,1.646,1.99,1.341,0.197,0.364,2.18,2.392,0,1,1,0,0
54,12,12,L,TRUE,2.887,2.593,2.173,1.935,3.014,1.7,1.586,1.76,1.876,1.525,0.269,0.918,2.164,2.215,0.246,1,1,0,0,1
55,13,13,L,TRUE,1.999,2.683,2.311,1.879,2.082,1.198,2.284,1.485,1.377,1.685,1.136,0.521,2.065,2.408,2.607,0,1,0,0,0
56,14,14,L,TRUE,1.692,2.955,3.03,2.956,1.667,0.371,2.258,2.399,2.334,1.839,1.592,0.182,0.096,0.172,1.701,0,1,1,1,0
57,1,1,L,TRUE,2.184,1.61,1.602,1.52,2.147,1.133,1.486,1.163,1.12,1.331,1.052,2.427,2.327,2.521,2.546,0,0,0,0,0
58,2,2,L,TRUE,2.95,1.793,1.913,1.901,2.741,1.829,1.427,1.219,1.265,1.735,0.041,2.408,2.157,2.229,2.001,1,0,0,0,0
59,3,3,L,TRUE,2.924,2.994,2.02,1.829,2.328,1.588,2.259,1.497,1.274,1.586,0.063,0.389,2.017,2.151,2.264,1,1,0,0,0
60,0,4,L,FALSE,3.055,3.014,3.007,1.872,2.047,1.911,2.2,2.177,2.157,2.367,0.162,0.153,0.234,2.246,2.361,1,1,1,0,0
61,5,5,L,TRUE,3.015,3.015,3.02,2.799,1.948,1.686,2.242,2.322,2.09,1.716,0.283,0.276,0.219,0.425,1.088,1,1,1,1,0
62,6,6,L,TRUE,2.971,3.03,3.053,3.09,3.1,1.791,2.204,2.258,2.342,2.261,0.384,0.179,0.143,0.056,0.074,1,1,1,1,1
63,7,7,L,TRUE,1.773,2.993,3.07,3.021,3.031,0.485,2.182,2.314,2.488,2.339,1.485,0.142,0.105,0.035,0.172,0,1,1,1,1
64,8,8,L,TRUE,2.263,1.145,2.988,3.099,3.07,0.878,1.618,2.107,2.276,2.307,1.043,2.129,0.11,0.07,0.176,0,0,1,1,1
65,9,9,L,TRUE,2.317,1.019,1.328,2.332,2.746,0.845,1.305,1.561,1.343,2.175,1.024,2.186,2.123,0.491,0.294,0,0,0,1,1
66,10,10,L,TRUE,2.364,1.156,1.232,0.971,2.97,1.02,1.773,1.943,1.588,2.114,0.917,2.283,2.289,2.239,0.146,0,0,0,0,1
67,11,11,L,TRUE,1.801,2.997,2.881,1.94,2.238,0.719,2.218,2.285,1.808,1.972,1.372,0.157,0.287,2.177,2.258,0,1,1,0,0
68,12,12,L,TRUE,3.084,2.976,1.155,1.087,2.823,1.785,2.2,1.913,1.509,2.069,0.285,0.471,2.612,2.434,0.038,1,1,0,0,1
69,0,13,L,FALSE,2.17,2.93,1.892,1.971,2.005,0.866,2.119,2.006,1.839,2.276,1.064,0.427,2.168,2.269,2.256,0,1,0,0,0
70,14,14,L,TRUE,1.753,2.959,3.033,2.927,1.515,0.408,2.228,2.33,2.219,1.637,1.514,0.2,0.14,0.168,1.686,0,1,1,1,0
71,1,1,L,TRUE,2.136,1.469,1.63,1.594,2.318,1.161,1.559,1.162,1.165,1.515,1.042,2.692,2.234,2.437,2.45,0,0,0,0,0
72,2,2,L,TRUE,3.058,1.765,2.318,2.061,2.431,1.727,1.459,1.309,1.314,1.794,0.145,2.58,1.938,2.061,1.848,1,0,0,0,0
73,3,3,L,TRUE,2.974,2.857,2.234,1.735,2.178,1.871,2.206,1.499,1.194,1.516,0.046,0.492,1.957,2.22,2.465,1,1,0,0,0
74,0,4,L,FALSE,3.039,3.03,3,1.869,2.218,1.863,2.2,2.165,2.126,2.368,0.134,0.161,0.244,2.296,2.436,1,1,1,0,0
75,5,5,L,TRUE,2.93,3.004,3.033,2.76,1.901,1.615,2.212,2.25,2.004,1.74,0.34,0.233,0.217,0.423,1.165,1,1,1,1,0
76,6,6,L,TRUE,2.928,3.039,3.035,3.052,3.103,1.791,2.191,2.25,2.389,2.299,0.417,0.169,0.151,0.076,0.032,1,1,1,1,1
77,7,7,L,TRUE,1.738,2.991,3.062,3.027,3.025,0.492,2.163,2.302,2.476,2.348,1.512,0.171,0.13,0.05,0.174,0,1,1,1,1
78,8,8,L,TRUE,2.186,1.234,3.029,3.093,3.059,0.918,1.6,2.142,2.282,2.322,1.096,2.026,0.111,0.109,0.094,0,0,1,1,1
79,9,9,L,TRUE,2.199,0.989,1.307,2.333,2.785,0.691,1.211,1.5,1.339,2.138,1.171,2.135,2.073,0.436,0.306,0,0,0,1,1
80,10,10,L,TRUE,2.523,0.86,0.96,0.672,2.945,1.052,1.179,1.415,1.157,2.106,0.854,2.199,2.244,2.318,0.125,0,0,0,0,1
81,0,11,L,FALSE,1.685,2.998,2.959,1.842,2.106,0.661,2.179,2.116,1.921,2.045,1.48,0.109,0.26,1.941,1.91,0,1,1,0,0
82,12,12,L,TRUE,2.966,2.828,1.852,1.706,2.648,1.787,2.001,2.121,1.963,1.889,0.091,0.465,2.476,2.401,0.088,1,1,0,0,1
83,11,13,L,FALSE,2.094,2.903,2.252,2.057,2.251,1.038,2.363,1.651,1.497,1.817,1.097,0.345,2.143,2.325,2.439,0,1,0,0,0
84,14,14,L,TRUE,1.822,2.996,3.037,2.912,1.626,0.422,2.304,2.351,2.378,1.79,1.524,0.186,0.141,0.183,1.817,0,1,1,1,0
1,1,1,R,TRUE,2.158,0.528,0.599,0.577,0.441,1.25,0.539,0.564,0.56,0.643,1.188,2.164,2.006,2.233,2.59,0,0,0,0,0
2,2,2,R,TRUE,3.034,0.417,0.772,0.785,1.074,2.001,0.906,0.723,0.742,1.197,0.273,2.933,2.053,2.1,2.099,1,0,0,0,0
3,3,3,R,TRUE,2.985,2.975,1.18,1.141,1.171,1.878,2.279,1.173,1.113,1.272,0.057,0.441,2.205,2.138,1.934,1,1,0,0,0
4,4,4,R,TRUE,3.007,3.078,3.039,0.909,0.753,1.798,2.178,2.237,1.287,1.082,0.127,0.129,0.225,2.334,2.336,1,1,1,0,0
