,gesture,real,LR,match,FA1,2,3,4,5,FD1,2,3,4,5,HA1,2,3,4,5
1,1,1,R,True,2.329,1.089,0.881,0.987,1.321,1.409,1.055,0.837,0.946,1.339,0.875,2.213,2.415,2.419,2.321
2,2,2,R,True,2.791,1.542,1.537,1.517,2.707,1.93,1.479,1.228,1.216,1.649,0.281,2.53,2.376,2.468,2.004
3,3,3,R,True,2.74,2.79,1.854,1.688,2.199,1.976,2.19,1.429,1.255,1.533,0.256,0.271,2.02,2.158,2.083
4,0,4,R,False,2.775,3.064,3.002,1.979,2.23,1.876,2.166,2.318,2.188,2.141,0.168,0.103,0.135,2.384,2.321
5,5,5,R,True,3.049,3.027,3.048,2.942,2.13,1.787,2.219,2.369,2.059,1.902,0.26,0.168,0.066,0.364,1.599
6,6,6,R,True,3.055,3.061,3.038,3.108,3.074,1.994,2.219,2.322,2.352,2.335,0.154,0.137,0.029,0.053,0.099
7,7,7,R,True,1.553,3.08,3.073,3.043,2.992,0.734,2.216,2.293,2.42,2.401,1.619,0.215,0.104,0.097,0.164
8,8,8,R,True,2.353,1.358,2.895,2.898,2.74,0.888,2.224,2.286,2.214,2.139,0.953,2.339,0.491,0.261,0.245
9,9,9,R,True,2.455,1.181,1.427,2.527,2.847,0.856,1.88,1.764,1.751,2.128,0.874,2.321,2.074,0.577,0.244
10,10,10,R,True,2.411,1.582,1.469,1.125,2.68,0.957,1.841,1.796,1.488,2.099,0.984,2.296,2.385,2.399,0.321
11,0,11,R,False,1.973,3.04,2.885,2.021,2.169,0.607,2.186,2.349,1.905,2.064,1.284,0.241,0.175,2.208,2.127
12,12,12,R,True,2.832,2.867,2.085,2.123,2.491,1.86,2.134,1.813,1.797,1.661,0.121,0.391,2.199,2.069,0.247
13,13,13,R,True,2.273,2.898,2.023,1.96,2.701,1.063,2.131,1.514,1.378,1.651,0.95,0.305,2.177,2.31,2.086
14,7,14,R,False,1.649,3.072,3.119,3.037,2.163,0.577,2.293,2.331,2.585,2.349,1.519,0.282,0.1,0.143,1.828
15,1,1,R,True,1.964,1.205,0.997,0.908,1.487,0.979,1.396,1.08,1.266,1.742,1.261,2.474,2.624,2.929,2.592
16,2,2,R,True,2.794,1.621,1.569,1.537,2.807,1.925,1.422,1.189,1.194,1.675,0.239,2.6,2.429,2.506,1.948
17,4,3,R,False,2.799,2.79,2.307,2.196,2.576,2.113,2.083,1.52,1.371,1.65,0.187,0.112,1.979,2.135,2.007
18,4,4,R,True,2.817,2.941,2.867,2.195,2.432,1.925,2.091,2.184,1.672,1.833,0.185,0.079,0.303,2.107,2.07
19,6,5,R,False,2.946,3.033,3.057,3.01,2.926,1.817,2.172,2.382,2.154,1.95,0.084,0.079,0.087,0.213,0.493
20,6,6,R,True,3.0,3.035,3.116,3.091,3.07,2.043,2.247,2.332,2.343,2.323,0.099,0.063,0.053,0.153,0.183
21,7,7,R,True,1.571,3.045,3.093,3.057,2.991,0.647,2.161,2.307,2.459,2.36,1.618,0.167,0.09,0.037,0.197
22,8,8,R,True,2.327,1.556,2.821,2.922,2.842,1.021,2.279,2.248,2.251,2.149,0.955,1.953,0.481,0.238,0.255
23,9,9,R,True,2.312,1.685,1.599,2.471,2.886,0.757,2.392,2.0,1.576,2.382,1.067,2.225,2.192,0.572,0.22
24,0,10,R,False,2.303,1.823,1.582,1.192,2.661,0.854,2.103,1.897,1.566,1.787,1.086,2.232,2.36,2.286,0.29
25,11,11,R,True,1.805,2.908,2.66,1.991,2.228,0.659,2.165,2.27,1.732,1.855,1.416,0.242,0.259,2.25,2.234
26,0,12,R,False,2.899,2.804,2.161,2.349,2.133,2.005,2.113,1.727,1.695,1.455,0.024,0.261,2.116,2.007,1.28
27,11,13,R,False,2.087,2.862,2.227,2.077,2.712,0.997,2.093,1.567,1.399,1.588,1.124,0.254,2.128,2.304,2.049
28,7,14,R,False,1.695,3.105,3.127,3.002,2.329,0.682,2.338,2.369,2.422,2.287,1.437,0.231,0.091,0.283,1.67
29,1,1,R,True,2.069,1.724,1.563,1.463,2.019,1.055,1.494,1.185,1.184,1.376,1.079,2.294,2.197,2.386,2.112
30,2,2,R,True,2.872,1.619,1.512,1.545,2.72,1.881,1.24,1.09,1.112,1.608,0.209,2.597,2.35,2.415,1.826
31,3,3,R,True,2.805,2.652,2.193,1.948,2.459,2.079,2.099,1.41,1.267,1.476,0.167,0.125,1.998,2.162,2.009
32,5,4,R,False,2.909,2.914,2.927,2.278,2.277,1.901,2.081,2.103,1.685,1.856,0.079,0.073,0.413,1.901,1.86
33,5,5,R,True,2.907,3.009,2.875,2.438,2.29,1.995,2.161,2.13,2.111,1.991,0.117,0.387,0.709,1.813,1.848
34,6,6,R,True,3.028,3.024,3.131,3.042,3.062,2.098,2.215,2.285,2.29,2.299,0.1,0.016,0.088,0.214,0.229
35,7,7,R,True,1.68,3.034,3.006,3.015,3.058,0.875,2.215,2.294,2.357,2.391,1.483,0.077,0.027,0.1,0.338
36,7,8,R,False,2.33,1.804,2.685,2.841,2.866,1.038,2.499,2.159,2.143,2.128,0.946,1.889,0.564,0.246,0.222
37,0,9,R,False,2.272,1.788,1.629,2.382,2.83,0.751,2.489,2.085,1.393,2.36,1.124,2.15,2.247,0.543,0.299
