,gesture,real,LR,match,FA1,2,3,4,5,FD1,2,3,4,5,HA1,2,3,4,5
1,1,1,R,TRUE,2.425,0.654,0.66,0.846,0.948,1.185,0.665,0.631,0.816,1.157,0.901,2.284,2.412,2.362,2.453
2,2,2,R,TRUE,3.046,0.578,0.851,0.859,0.993,2.07,0.903,0.86,0.889,1.265,0.216,2.72,2.442,2.457,2.381
3,3,3,R,TRUE,2.992,2.946,1.508,1.541,1.787,1.836,2.212,1.411,1.421,1.841,0.137,0.331,2.283,2.348,2.325
4,4,4,R,TRUE,2.945,3.068,3.043,1.088,1.155,1.758,2.174,2.254,1.581,1.718,0.081,0.121,0.227,2.492,2.317
5,5,5,R,TRUE,3.014,3.016,3.117,3.001,1.507,1.855,2.182,2.293,2.303,1.159,0.172,0.107,0.093,0.154,0.982
6,6,6,R,TRUE,3.008,3.046,3.062,3.127,3.074,1.948,2.245,2.343,2.328,2.272,0.199,0.132,0.072,0.042,0.097
7,7,7,R,TRUE,1.896,3.031,3.124,3.044,3.074,0.635,2.311,2.314,2.486,2.336,1.4,0.171,0.083,0.181,0.146
8,8,8,R,TRUE,2.573,1.253,2.954,3.036,2.95,1.091,1.452,2.35,2.359,2.261,0.799,1.753,0.095,0.086,0.093
9,10,9,R,FALSE,2.469,0.774,1.271,1.953,2.995,0.763,0.973,1.548,1.116,2.357,0.976,2.295,2.354,0.422,0.146
10,10,10,R,TRUE,2.552,1.033,1.175,0.873,2.794,1.089,1.352,1.614,1.322,2.223,0.912,2.45,2.551,2.567,0.076
11,11,11,R,TRUE,2.195,3.047,3.038,1.278,1.548,0.437,2.29,2.351,1.386,1.801,1.155,0.215,0.248,1.824,1.895
12,12,12,R,TRUE,3.133,3.028,1.431,1.391,2.967,1.956,2.186,1.834,1.936,2.263,0.296,0.36,2.572,2.519,0.238
13,13,13,R,TRUE,2.357,3.104,1.241,1.39,1.218,0.941,2.293,1.586,1.813,1.669,0.973,0.337,2.114,2.324,2.28
14,14,14,R,TRUE,2.111,3.066,3.115,3.011,1.095,0.373,2.357,2.431,2.528,1.498,1.273,0.145,0.036,0.056,1.935
15,1,1,R,TRUE,2.328,0.643,0.713,0.9,1.201,1.197,0.752,0.697,0.876,1.35,0.989,2.53,2.409,2.364,2.322
16,2,2,R,TRUE,3.03,1.232,1.485,1.418,1.917,1.998,1.646,1.352,1.428,1.929,0.116,2.744,2.578,2.693,2.369
17,3,3,R,TRUE,2.989,2.876,1.478,1.365,1.686,1.797,2.291,1.295,1.223,1.552,0.129,0.345,2.294,2.409,2.374
18,4,4,R,TRUE,2.985,2.966,3.01,1.437,1.372,1.654,2.138,2.178,2.113,2.102,0.183,0.145,0.279,2.556,2.395
19,5,5,R,TRUE,3.092,3.078,3.075,3.038,1.732,1.687,2.151,2.341,2.247,1.576,0.283,0.113,0.131,0.122,1.409
20,6,6,R,TRUE,2.979,3.026,2.902,2.936,3.054,1.731,2.236,2.286,2.335,2.349,0.363,0.241,0.167,0.164,0.135
21,7,7,R,TRUE,1.613,3.071,3.08,3.008,3.041,0.58,2.296,2.329,2.463,2.352,1.691,0.2,0.145,0.156,0.06
22,8,8,R,TRUE,2.418,1.152,2.966,3.021,2.907,0.791,1.291,2.356,2.312,2.354,0.992,1.847,0.181,0.143,0.071
23,9,9,R,TRUE,2.511,0.627,1.369,2.499,2.908,0.752,0.78,1.666,1.643,2.25,0.891,2.216,2.098,0.602,0.186
24,10,10,R,TRUE,2.559,0.942,1.255,0.919,2.821,0.946,1.183,1.611,1.374,2.145,0.893,2.393,2.417,2.511,0.07
25,11,11,R,TRUE,2.186,3.093,2.948,1.727,1.924,0.689,2.221,2.335,1.842,1.99,1.142,0.22,0.167,2.163,2.105
26,12,12,R,TRUE,3.036,2.981,1.612,1.529,2.938,1.81,2.123,2.028,2.143,2.229,0.334,0.318,2.638,2.535,0.221
27,0,13,R,FALSE,2.359,3.044,1.996,2.264,2.379,0.742,2.033,2.104,1.879,2.099,0.925,0.326,2.168,2.236,2.203
28,14,14,R,TRUE,1.967,2.995,3.06,3.073,1.621,0.476,2.342,2.418,2.49,2.038,1.323,0.19,0.152,0.068,1.912
32,13,1,R,FALSE,2.302,2.901,1.44,1.179,1.408,1.245,1.52,1.126,1.094,1.501,0.919,1.128,2.127,2.616,2.753
33,2,2,R,TRUE,3.043,1.408,1.459,1.419,2.18,1.94,1.604,1.189,1.222,1.608,0.231,2.668,2.456,2.594,2.167
34,3,3,R,TRUE,3.031,2.716,1.826,1.509,1.598,1.973,2.262,1.298,1.122,1.256,0.224,0.331,1.911,2.087,2.168
35,4,4,R,TRUE,3.007,2.969,2.953,1.659,1.774,1.803,2.2,2.18,1.877,1.982,0.283,0.074,0.322,2.44,2.357
36,6,5,R,FALSE,3.049,3.038,3.043,3.027,2.608,2.031,2.01,2.413,2.219,1.748,0.286,0.114,0.113,0.277,0.718
37,6,6,R,TRUE,3.059,3.008,3.116,3.124,3.109,2.002,2.234,2.386,2.401,2.365,0.191,0.048,0.059,0.082,0.161
38,7,7,R,TRUE,1.864,3.012,3.076,3.029,3.064,0.773,2.32,2.381,2.549,2.397,1.399,0.15,0.103,0.182,0.147
39,8,8,R,TRUE,2.409,1.593,2.902,3.068,3.01,1.157,1.982,2.276,2.276,2.446,0.877,1.775,0.176,0.031,0.167
40,10,9,R,FALSE,2.35,1.019,1.275,0.428,2.934,0.587,1.374,1.568,0.738,2.341,1.061,2.221,2.285,0.523,0.193
41,10,10,R,TRUE,2.45,1.168,1.378,1.177,3.091,0.984,1.493,1.578,1.48,2.049,1.042,2.318,2.284,2.276,0.07
42,11,11,R,TRUE,1.842,2.993,2.905,1.767,2,0.462,2.212,2.353,1.77,1.918,1.462,0.194,0.266,2.113,2.112
43,12,12,R,TRUE,3.098,2.912,1.613,1.65,2.886,1.991,2.22,1.918,1.997,2.273,0.322,0.32,2.584,2.436,0.234
44,13,13,R,TRUE,2.323,2.997,1.928,2.005,2.458,0.664,2.065,1.701,1.505,1.924,0.95,0.243,1.967,2.146,2.061
45,14,14,R,TRUE,1.97,2.97,3.101,3.06,1.733,0.78,2.229,2.421,2.493,2.184,1.298,0.102,0.111,0.11,1.843
46,1,1,L,TRUE,2.406,1.592,1.65,1.567,2.049,1.192,1.623,1.301,1.238,1.519,0.949,2.615,2.491,2.601,2.543
47,3,2,L,FALSE,3.003,1.827,1.707,1.737,2.492,1.656,1.579,1.252,1.221,1.47,0.439,2.822,2.658,2.632,2.164
48,3,3,L,TRUE,2.938,2.998,1.894,1.831,2.256,1.407,2.305,1.498,1.308,1.469,0.532,0.448,2.342,2.433,2.396
49,4,4,L,TRUE,2.846,2.985,2.896,1.981,2.228,1.165,2.128,1.96,1.638,1.617,0.58,0.441,0.348,2.343,2.376
50,5,5,L,TRUE,2.882,2.97,2.834,2.594,2.502,1.427,2.198,2.325,1.507,1.802,0.567,0.238,0.202,1.156,1.747
51,6,6,L,TRUE,2.968,3.068,3.112,3.067,3.015,1.668,2.242,2.311,2.338,2.383,0.558,0.124,0.105,0.056,0.174
52,7,7,L,TRUE,1.946,2.975,3.037,3.026,3.046,0.96,2.181,2.211,2.305,2.371,1.285,0.186,0.183,0.045,0.281
53,8,8,L,TRUE,2.59,1.637,2.921,2.92,2.961,1.039,1.916,2.457,2.204,2.441,0.83,2.027,0.418,0.244,0.212
54,10,9,L,FALSE,2.6,1.305,1.496,1.319,3.011,1.074,1.776,2.413,1.871,2.175,0.893,2.101,2.131,1.955,0.158
55,10,10,L,TRUE,2.839,1.347,1.307,1.028,2.995,1.292,2.077,2.238,1.919,2.036,0.668,2.206,2.289,2.392,0.11
56,11,11,L,TRUE,2.193,2.925,2.855,1.905,2.102,0.907,2.139,2.26,1.742,1.877,1.107,0.238,0.291,1.971,2.042
57,12,12,L,TRUE,2.989,1.988,1.877,1.686,2.59,1.79,2.415,2.214,2.146,1.998,0.493,2.675,2.799,2.785,0.545
