	gesture	real	match	LR	FA1	2	3	4	5	FD1	2	3	4	5	HA1	2	3	4	5
1	1	1	R	TRUE	2.158	0.528	0.599	0.577	0.441	1.25	0.539	0.564	0.56	0.643	1.188	2.164	2.006	2.233	2.59
2	2	2	R	TRUE	3.034	0.417	0.772	0.785	1.074	2.001	0.906	0.723	0.742	1.197	0.273	2.933	2.053	2.1	2.099
3	3	3	R	TRUE	2.985	2.975	1.18	1.141	1.171	1.878	2.279	1.173	1.113	1.272	0.057	0.441	2.205	2.138	1.934
4	4	4	R	TRUE	3.007	3.078	3.039	0.909	0.753	1.798	2.178	2.237	1.287	1.082	0.127	0.129	0.225	2.334	2.336
5	5	5	R	TRUE	3.05	3.039	3.053	3.021	1.302	1.903	2.222	2.12	2.221	1.466	0.099	0.174	0.136	0.185	1.851
6	6	6	R	TRUE	2.982	3.034	2.902	2.933	2.979	1.93	2.169	2.198	2.229	2.319	0.327	0.199	0.136	0.161	0.169
7	7	7	R	TRUE	1.963	3.042	3.092	3.045	3.028	0.656	2.248	2.248	2.38	2.183	1.334	0.156	0.106	0.173	0.089
8	8	8	R	TRUE	2.265	1.378	3.052	3.111	2.921	0.842	1.417	2.36	2.282	2.281	1.077	1.598	0.181	0.077	0.18
9	9	9	R	TRUE	2.456	0.551	0.729	3.043	3.076	0.715	0.953	0.86	2.077	2.266	0.972	2.414	2.113	0.132	0.036
10	10	10	R	TRUE	2.293	1.171	1.176	0.936	3.032	0.787	1.438	1.431	1.09	2.136	1.238	2.11	2.223	2.064	0.137
11	11	11	R	TRUE	2.383	3.033	3.02	1.096	1.163	0.781	2.137	2.176	1.211	1.213	1.052	0.048	0.121	1.912	1.774
12	12	12	R	TRUE	3.094	2.884	1.288	1.258	2.848	2.065	2.284	1.684	1.651	2.135	0.437	0.307	2.574	2.495	0.228
13	13	13	R	TRUE	2.532	3.052	1.479	1.288	1.354	0.699	2.194	1.453	1.349	1.827	0.78	0.345	1.887	2.04	2.042
14	14	14	R	TRUE	2.251	3.04	3.082	3.065	1.247	0.477	2.27	2.204	2.465	1.544	1.22	0.057	0.088	0.088	1.811
15	1	1	R	TRUE	2.151	0.543	0.627	0.508	0.143	1.235	0.561	0.604	0.547	0.483	1.251	2.276	2.279	2.491	3.027
16	2	2	R	TRUE	2.924	0.344	0.861	0.81	0.916	2.13	1.1	0.837	0.838	1.25	0.286	3.003	2.153	2.252	2.261
17	3	3	R	TRUE	2.881	2.964	1.35	1.317	1.357	2.037	2.283	1.401	1.333	1.481	0.073	0.34	2.172	2.147	2.065
18	4	4	R	TRUE	2.897	3.071	3.041	0.944	0.776	1.909	2.247	2.257	1.193	1.085	0.016	0.153	0.235	2.324	2.393
19	5	5	R	TRUE	3.104	3.025	3.021	3.053	1.386	2.008	2.231	2.105	2.247	1.699	0.182	0.178	0.092	0.147	1.982
20	6	6	R	TRUE	2.972	3.041	2.912	2.949	2.984	2.002	2.158	2.175	2.194	2.246	0.337	0.161	0.117	0.165	0.162
21	7	7	R	TRUE	2.027	3.042	3.118	3.06	3.008	0.676	2.27	2.256	2.354	2.216	1.266	0.19	0.12	0.155	0.071
22	8	8	R	TRUE	2.405	1.368	3.004	3.12	2.929	1.078	1.505	2.331	2.195	2.233	0.937	1.654	0.152	0.065	0.183
23	9	9	R	TRUE	2.467	0.715	0.564	3.028	3.027	0.815	0.922	0.724	2.063	2.185	0.938	2.149	2.16	0.074	0.132
24	10	10	R	TRUE	2.352	0.723	1.154	1.052	2.851	0.816	0.837	1.506	1.409	2.167	1.12	2.252	2.417	2.53	0.279
25	11	11	R	TRUE	2.326	3.057	3.037	1.117	1.236	0.756	2.18	2.134	1.339	1.412	1.091	0.056	0.098	2.044	1.952
