,gesture,real,LR,match,FA1,2,3,4,5,FD1,2,3,4,5,HA1,2,3,4,5
1,1,1,R,True,2.341,0.914,0.758,0.847,0.915,1.306,0.93,0.74,0.847,1.056,0.898,2.229,2.376,2.389,2.261
2,2,2,R,True,2.722,1.431,1.504,1.417,2.233,2.023,1.419,1.291,1.314,1.673,0.327,2.446,2.444,2.627,2.127
3,3,3,R,True,2.516,2.756,1.991,1.842,2.416,2.069,2.293,1.439,1.3,1.594,0.493,0.264,1.987,2.147,1.956
4,4,4,R,True,2.732,3.12,3.054,1.619,1.775,1.919,2.183,2.316,1.884,1.931,0.225,0.149,0.207,1.885,1.877
5,6,5,R,False,3.034,3.049,3.074,3.085,2.925,1.973,2.168,2.337,2.484,1.973,0.12,0.09,0.07,0.208,0.945
6,6,6,R,True,3.036,3.048,3.052,3.108,3.135,1.975,2.225,2.306,2.287,2.336,0.179,0.081,0.022,0.064,0.142
7,7,7,R,True,2.108,3.088,3.08,3.044,3.116,0.967,2.26,2.309,2.458,2.468,1.11,0.154,0.052,0.07,0.046
8,8,8,R,True,2.509,1.164,2.956,3.023,2.945,0.873,1.434,2.368,2.377,2.351,0.827,1.877,0.231,0.114,0.188
9,9,9,R,True,2.639,0.847,1.268,2.747,2.942,0.89,1.057,1.461,1.585,2.193,0.77,2.147,2.049,0.384,0.287
10,10,10,R,True,2.769,1.4,1.427,1.049,2.731,1.178,1.565,1.67,1.46,2.149,0.635,2.213,2.313,2.42,0.39
11,11,11,R,True,2.117,3.029,3.077,1.636,1.799,0.808,2.227,2.239,1.769,1.886,1.071,0.199,0.137,1.73,1.661
12,12,12,R,True,3.103,2.92,1.602,1.64,2.864,1.94,2.342,1.996,1.978,2.343,0.361,0.324,2.499,2.4,0.37
13,13,13,R,True,2.256,2.98,1.767,1.799,2.353,0.793,2.102,1.552,1.432,1.854,0.969,0.327,1.945,2.091,1.928
14,14,14,R,True,2.133,3.059,3.099,3.108,1.52,0.535,2.227,2.183,2.549,2.15,1.162,0.112,0.083,0.134,1.905
15,1,1,R,True,1.994,0.624,0.932,0.919,1.37,0.841,1.401,0.991,1.118,1.618,1.299,2.824,2.353,2.636,2.123
16,2,2,R,True,2.632,1.297,1.362,1.378,2.266,2.086,1.296,1.177,1.255,1.7,0.4,2.52,2.493,2.648,2.126
