,gesture,real,LR,match,FA1,2,3,4,5,FD1,2,3,4,5,HA1,2,3,4,5
1,1,1,R,True,2.439,0.571,0.49,0.626,0.776,1.303,0.569,0.472,0.593,0.778,0.805,2.281,2.342,2.278,2.239
2,2,2,R,True,3.111,0.747,0.799,0.834,1.109,1.935,1.01,0.836,0.868,1.276,0.209,2.543,2.503,2.521,2.437
3,3,3,R,True,3.03,2.783,1.191,1.134,1.645,1.837,2.342,1.014,0.954,1.289,0.098,0.409,2.163,2.211,2.212
4,4,4,R,True,2.976,3.026,3.071,1.188,1.432,1.605,2.126,2.209,1.399,1.593,0.203,0.232,0.334,1.986,1.828
5,5,5,R,True,2.997,3.04,3.051,3.038,1.607,1.715,2.174,2.162,2.267,1.7,0.302,0.13,0.121,0.083,1.618
6,6,6,R,True,2.987,3.048,2.982,3.013,3.012,1.78,2.217,2.351,2.4,2.373,0.268,0.185,0.092,0.052,0.058
7,7,7,R,True,1.801,3.015,3.11,3.04,3.017,0.62,2.289,2.367,2.472,2.306,1.449,0.218,0.127,0.165,0.018
8,8,8,R,True,2.637,1.05,2.916,2.935,2.997,1.063,1.079,2.335,2.397,2.347,0.617,1.695,0.211,0.181,0.221
9,9,9,R,True,2.543,0.444,1.209,2.97,2.862,0.819,0.708,1.333,1.91,2.255,0.817,2.476,1.979,0.35,0.239
10,10,10,R,True,2.593,1.01,1.15,0.809,2.791,1.053,1.217,1.413,1.0,2.14,0.833,2.2,2.163,2.166,0.193
11,11,11,R,True,2.129,2.979,2.968,1.387,1.288,0.86,2.221,2.394,1.411,1.302,1.113,0.306,0.33,1.997,1.88
12,12,12,R,True,3.016,3.045,1.265,1.172,2.927,1.767,2.244,1.543,1.429,2.255,0.399,0.402,2.38,2.306,0.294
13,13,13,R,True,2.41,3.006,1.158,1.173,1.392,0.976,2.126,1.12,1.145,1.511,0.816,0.443,2.077,2.16,2.129
14,14,14,R,True,2.18,2.99,3.021,2.986,1.551,0.761,2.259,2.274,2.488,1.848,1.091,0.24,0.119,0.065,1.964
15,1,1,R,True,2.356,0.547,0.541,0.693,0.914,1.266,0.584,0.517,0.647,0.91,0.887,2.411,2.25,2.216,2.169
16,2,2,R,True,3.08,0.749,0.863,0.903,1.418,1.901,1.085,0.876,0.905,1.371,0.138,2.716,2.49,2.533,2.374
17,3,3,R,True,3.085,2.793,1.031,0.985,1.525,1.799,2.355,0.901,0.844,1.204,0.162,0.421,2.148,2.105,2.071
18,4,4,R,True,2.971,2.999,3.078,1.212,1.53,1.605,2.108,2.22,1.314,1.578,0.24,0.218,0.327,1.951,1.827
19,5,5,R,True,2.973,3.016,3.041,3.026,1.577,1.642,2.163,2.203,2.29,1.762,0.319,0.156,0.133,0.097,1.74
20,6,6,R,True,2.983,3.045,2.948,3.013,3.035,1.788,2.224,2.357,2.4,2.367,0.289,0.201,0.133,0.067,0.019
21,7,7,R,True,1.764,2.976,3.064,3.062,3.032,0.674,2.253,2.345,2.483,2.338,1.47,0.222,0.137,0.161,0.036
22,8,8,R,True,2.432,1.036,2.895,2.933,3.074,1.023,1.344,2.235,2.404,2.318,0.825,1.863,0.057,0.088,0.16
23,9,9,R,True,2.398,0.558,1.363,2.905,2.812,0.763,0.809,1.382,1.976,2.259,0.975,2.334,1.865,0.355,0.244
24,10,10,R,True,2.557,1.071,1.289,0.921,2.696,0.992,1.276,1.482,1.142,2.05,0.835,2.197,2.192,2.206,0.229
25,11,11,R,True,2.064,3.022,2.943,1.585,1.527,0.785,2.216,2.376,1.619,1.665,1.2,0.253,0.292,2.088,2.106
26,12,12,R,True,2.998,2.974,1.385,1.273,2.811,1.762,2.22,1.66,1.572,2.149,0.354,0.409,2.371,2.34,0.267
27,13,13,R,True,2.431,3.027,1.476,1.495,1.661,1.123,2.185,1.434,1.444,1.694,0.759,0.502,2.054,2.149,2.066
28,14,14,R,True,2.235,3.027,3.013,2.96,1.818,0.799,2.257,2.27,2.353,1.918,1.055,0.187,0.108,0.111,1.874
29,1,1,R,True,2.333,0.951,0.899,1.005,1.4,1.164,0.956,0.855,0.946,1.297,0.902,2.252,2.431,2.485,2.41
30,2,2,R,True,3.044,1.17,1.165,1.219,1.845,1.865,1.4,1.129,1.155,1.483,0.191,2.631,2.616,2.668,2.348
31,3,3,R,True,3.064,2.716,1.212,1.249,1.782,1.789,2.353,1.058,1.047,1.294,0.207,0.364,2.237,2.338,2.252
32,4,4,R,True,2.975,2.991,3.021,1.359,1.701,1.588,2.13,2.209,1.443,1.641,0.22,0.192,0.303,2.04,1.974
33,5,5,R,True,3.007,3.029,3.031,3.085,1.768,1.692,2.162,2.216,2.178,1.786,0.294,0.139,0.106,0.146,1.575
34,6,6,R,True,3.016,3.056,3.001,3.058,3.019,1.811,2.245,2.359,2.406,2.37,0.236,0.167,0.086,0.008,0.058
35,7,7,R,True,1.764,2.998,3.092,3.06,2.965,0.644,2.263,2.356,2.446,2.376,1.457,0.241,0.153,0.157,0.016
36,8,8,R,True,2.39,1.172,2.783,2.895,3.007,1.104,1.565,2.146,2.304,2.295,0.832,1.861,0.107,0.119,0.105
37,9,9,R,True,2.324,0.897,1.326,2.719,2.781,0.752,1.093,1.311,1.699,2.229,1.042,2.077,1.832,0.41,0.278
38,10,10,R,True,2.573,1.006,1.236,0.924,2.776,1.096,1.19,1.436,1.193,2.044,0.815,2.14,2.151,2.216,0.243
