,gesture,real,LR,match,FA1,2,3,4,5,FD1,2,3,4,5,HA1,2,3,4,5
1,1,1,R,True,2.361,1.806,1.03,1.182,1.555,1.173,1.24,0.87,1.015,1.059,0.87,1.976,2.138,2.384,1.729
2,2,2,R,True,2.996,1.125,0.924,0.974,1.572,1.862,0.913,0.803,0.836,1.079,0.311,2.353,2.333,2.486,1.365
3,2,3,R,False,3.017,0.433,0.817,0.88,0.562,1.895,0.543,0.76,0.854,0.624,0.256,0.825,2.505,2.821,1.749
4,4,4,R,True,2.949,2.792,2.815,1.673,1.814,1.795,2.175,2.321,1.084,1.169,0.3,0.311,0.155,0.661,0.717
5,6,5,R,False,2.978,2.789,2.781,2.871,3.094,1.847,1.926,2.095,2.242,2.065,0.321,0.334,0.322,0.398,0.138
6,6,6,R,True,3.039,2.794,2.703,2.835,2.845,1.851,2.031,2.207,2.376,2.052,0.281,0.299,0.376,0.405,0.3
7,7,7,R,True,2.221,3.097,3.061,3.02,3.041,0.825,2.094,1.945,2.271,2.58,1.067,0.307,0.277,0.175,0.062
8,8,8,R,True,2.404,0.815,2.619,2.776,2.856,1.133,0.805,1.524,1.898,2.341,0.836,1.586,0.319,0.233,0.159
9,4,9,R,False,2.805,2.839,2.782,1.652,0.888,1.073,2.188,2.342,1.208,0.826,0.529,0.148,0.547,1.105,0.783
10,0,10,L,False,2.741,1.751,1.498,1.419,2.76,1.16,1.589,1.438,1.481,1.934,0.612,2.124,2.058,1.997,0.054
11,11,11,R,True,2.166,2.961,2.816,1.552,1.928,0.946,2.31,1.958,1.303,1.594,1.084,0.189,0.299,1.682,1.749
12,12,12,R,True,3.01,2.216,1.811,1.593,2.74,1.99,1.704,1.095,1.183,2.059,0.303,0.328,1.32,1.492,0.122
13,13,13,R,True,2.006,2.768,1.626,1.491,1.959,1.056,2.137,1.211,1.189,1.337,1.204,0.55,2.032,2.258,2.033
14,7,14,R,False,1.955,3.026,3.05,2.99,2.873,0.805,2.158,2.395,2.187,1.991,1.226,0.108,0.22,0.265,0.375
15,1,1,R,True,2.063,1.55,0.922,0.987,1.562,0.982,1.132,0.801,0.852,1.055,1.116,2.105,2.029,2.385,1.405
16,2,2,R,True,3.028,0.936,0.806,0.798,1.769,1.805,0.813,0.736,0.733,1.109,0.282,2.314,2.215,2.303,1.252
17,3,3,R,True,3.073,1.879,0.751,0.811,0.943,1.9,1.5,0.738,0.727,0.827,0.193,0.212,1.896,2.417,1.817
18,4,4,R,True,2.975,2.907,2.677,1.383,1.65,1.81,2.085,2.055,1.162,1.435,0.228,0.188,0.48,2.092,2.148
19,6,5,R,False,3.071,3.036,2.987,3.007,2.277,1.888,2.205,2.31,2.251,1.67,0.226,0.164,0.195,0.239,0.798
20,6,6,R,True,3.05,2.96,3.037,3.103,2.977,1.917,2.095,2.304,2.41,2.236,0.157,0.15,0.226,0.253,0.351
21,7,7,R,True,1.8,2.972,3.051,3.032,3.018,0.611,2.145,2.298,2.487,2.405,1.369,0.125,0.19,0.135,0.3
22,8,8,R,True,1.97,1.632,3.024,3.039,3.036,0.878,1.285,2.389,2.632,2.252,1.319,1.078,0.126,0.162,0.339
23,0,9,R,False,2.208,1.846,1.401,2.392,2.551,0.738,1.691,1.579,1.762,2.16,1.176,1.474,1.924,0.807,0.385
24,0,10,R,False,2.705,1.984,1.917,1.541,2.784,1.119,1.9,1.819,1.688,2.066,0.663,2.058,2.101,2.116,0.145
25,11,11,R,True,2.057,3.0,2.92,1.813,1.982,0.849,2.153,2.312,1.474,1.768,1.221,0.155,0.386,1.814,1.906
26,12,12,R,True,2.985,2.189,1.624,1.268,2.666,1.998,1.655,1.025,0.967,1.902,0.317,0.447,1.14,1.251,0.07
27,13,13,R,True,2.396,2.729,1.532,1.176,1.674,1.189,2.064,1.055,1.001,1.218,0.853,0.541,1.754,2.322,2.034
28,7,14,R,False,1.932,2.997,2.914,3.061,2.94,0.766,2.107,2.287,2.286,2.035,1.237,0.12,0.282,0.28,0.242
29,1,1,R,True,2.133,1.828,1.579,1.258,2.122,1.064,1.338,1.041,0.965,1.275,1.011,1.995,1.729,2.023,1.585
30,0,2,R,False,3.021,1.266,0.997,1.116,2.264,1.863,0.994,0.847,0.901,1.331,0.274,2.439,2.13,2.251,1.399
31,3,3,R,True,3.049,2.33,1.262,1.023,1.516,1.879,1.734,0.954,0.854,1.069,0.206,0.222,1.8,2.161,1.863
32,4,4,R,True,2.992,2.904,2.745,1.584,1.848,1.836,2.118,2.161,1.332,1.617,0.221,0.157,0.465,2.133,2.271
33,6,5,R,False,3.105,3.021,3.013,3.086,2.671,1.915,2.165,2.319,2.326,1.835,0.199,0.125,0.183,0.269,0.45
34,6,6,R,True,3.035,2.912,3.025,3.076,3.04,1.968,2.065,2.304,2.366,2.368,0.186,0.143,0.237,0.274,0.34
35,7,7,R,True,1.838,2.963,3.05,3.018,3.062,0.679,2.172,2.339,2.429,2.398,1.347,0.107,0.127,0.097,0.322
36,7,8,R,False,2.243,1.86,3.027,3.051,2.946,1.055,1.603,2.095,2.371,2.203,1.022,1.274,0.302,0.115,0.448
37,9,9,R,True,2.09,0.911,0.329,2.472,2.801,0.804,0.918,0.513,1.663,2.061,1.333,1.494,2.264,0.715,0.436
38,0,10,R,False,2.638,1.853,1.838,1.468,2.726,1.133,1.847,1.744,1.606,1.976,0.781,2.162,2.168,2.164,0.138
39,11,11,R,True,1.982,2.986,2.816,1.729,1.709,0.781,2.249,2.446,1.518,1.602,1.28,0.122,0.368,1.893,2.094
40,12,12,R,True,2.979,2.379,1.437,1.262,2.54,1.859,1.627,1.092,1.053,1.936,0.294,0.477,1.843,1.87,0.211
41,13,13,R,True,2.21,2.725,1.404,1.092,1.56,1.078,2.03,1.021,0.925,1.183,1.008,0.531,1.789,2.243,2.05
42,7,14,R,False,1.799,3.021,2.991,3.093,2.798,0.771,2.168,2.388,2.342,1.858,1.349,0.146,0.237,0.343,0.492
43,1,1,L,True,2.323,1.362,1.529,1.383,2.431,1.237,1.34,1.117,1.058,1.386,0.886,2.452,2.089,2.273,2.162
44,2,2,L,True,3.093,1.653,1.482,1.563,2.571,1.901,1.402,1.033,1.07,1.559,0.127,2.609,2.102,2.102,1.744
45,3,3,L,True,3.044,2.601,1.766,1.053,1.637,2.03,2.079,1.168,0.894,1.245,0.218,0.583,1.913,2.358,2.209
46,4,4,L,True,3.056,2.986,2.381,1.252,1.693,1.755,2.128,1.801,0.985,1.113,0.256,0.193,0.334,2.208,2.255
47,6,5,L,False,2.985,3.051,2.913,2.875,2.182,1.77,2.152,2.183,1.967,1.983,0.43,0.224,0.206,0.623,1.492
48,6,6,L,True,3.016,3.008,3.045,3.129,3.054,1.881,2.187,2.24,2.392,2.222,0.316,0.228,0.178,0.078,0.266
49,7,7,L,True,1.515,3.049,3.093,2.986,3.025,0.424,2.198,2.246,2.467,2.1,1.71,0.119,0.152,0.094,0.293
50,8,8,L,True,2.248,1.523,3.012,3.021,2.911,1.01,1.855,2.125,2.308,2.246,1.006,1.841,0.193,0.047,0.306
51,0,9,L,False,2.604,1.874,1.816,2.415,2.916,1.195,1.948,1.912,1.56,2.261,0.545,1.568,1.552,0.614,0.26
52,10,10,L,True,2.62,1.631,1.721,1.559,2.966,1.107,2.16,2.124,1.823,2.015,0.679,2.153,2.106,1.951,0.058
53,11,11,L,True,1.848,2.944,2.708,1.818,2.076,0.838,2.135,2.099,1.474,1.615,1.373,0.158,0.462,2.152,2.412
54,12,12,L,True,3.068,1.885,1.627,1.684,2.812,2.062,1.556,1.261,1.365,2.108,0.237,0.345,2.291,2.177,0.219
55,13,13,L,True,2.282,2.836,1.966,1.521,1.815,1.105,2.275,1.28,1.134,1.356,1.0,0.415,1.923,2.25,2.413
56,7,14,L,False,2.019,2.812,2.673,2.792,2.353,0.901,2.023,1.967,2.055,2.038,1.2,0.182,0.316,0.374,1.115
57,1,1,L,True,2.319,1.657,1.725,1.464,1.926,1.323,1.118,1.075,1.058,1.395,0.834,1.925,1.774,1.989,2.0
58,2,2,L,True,3.022,1.301,1.06,1.01,1.847,1.896,1.128,0.911,0.847,1.216,0.28,2.627,2.478,2.262,1.404
59,2,3,L,False,3.115,0.779,1.035,1.131,1.72,2.019,0.734,0.861,0.908,1.229,0.125,1.863,2.075,2.117,1.703
60,4,4,L,True,3.05,2.906,2.63,1.91,2.008,1.852,2.01,1.343,1.411,1.648,0.21,0.142,0.698,1.783,2.026
61,6,5,L,False,2.968,3.057,2.935,2.602,2.131,1.897,2.108,2.26,2.125,1.914,0.448,0.271,0.26,0.649,1.312
62,6,6,L,True,3.068,2.968,3.038,3.117,3.007,1.94,2.152,2.249,2.404,2.279,0.243,0.269,0.188,0.046,0.229
63,7,7,L,True,1.448,3.071,3.079,2.928,3.021,0.458,2.168,2.28,2.359,2.002,1.733,0.268,0.319,0.203,0.417
64,7,8,R,False,2.31,1.978,2.901,2.905,2.746,1.137,1.795,2.347,2.273,1.883,0.921,1.254,0.391,0.092,0.148
65,7,9,R,False,2.606,2.981,2.704,1.905,2.152,1.357,2.347,2.117,1.617,1.826,0.746,0.205,0.586,1.384,1.407
66,13,10,R,False,2.166,2.895,2.139,2.132,2.145,0.991,2.473,1.788,1.832,1.937,1.12,0.273,1.739,1.87,1.865
67,0,11,L,False,2.009,2.955,2.55,1.75,2.19,0.877,1.872,1.638,1.541,1.818,1.235,0.044,0.5,1.648,1.49
68,12,12,L,True,3.072,2.5,1.76,1.77,2.791,1.945,1.248,1.267,1.303,2.228,0.157,1.073,2.097,1.907,0.25
69,13,13,L,True,2.055,2.821,1.843,1.355,1.724,1.07,2.215,1.295,1.127,1.365,1.246,0.717,1.917,2.364,2.582
70,7,14,L,False,1.9,2.973,2.918,3.0,2.061,0.905,2.118,2.323,2.095,1.782,1.316,0.299,0.323,0.291,1.249
71,1,1,L,True,2.214,1.733,2.387,1.396,1.935,1.234,1.118,1.114,1.018,1.327,0.954,1.953,1.595,1.939,1.971
72,2,2,L,True,3.026,1.252,0.976,0.864,1.82,1.825,1.062,0.838,0.79,1.237,0.308,2.608,2.397,2.085,1.307
73,2,3,L,False,3.044,1.114,0.874,0.863,1.209,2.064,0.904,0.771,0.761,0.965,0.216,0.742,2.008,2.27,1.85
74,3,4,L,False,3.051,2.901,2.119,1.87,1.815,1.907,2.076,1.494,1.491,1.626,0.245,0.206,0.843,1.366,1.462
75,6,5,L,False,3.008,3.067,2.907,2.454,2.21,1.862,2.05,2.123,1.954,1.886,0.38,0.241,0.253,0.537,1.012
76,6,6,L,True,3.068,2.959,3.021,3.116,3.068,1.96,2.095,2.215,2.439,2.403,0.263,0.286,0.244,0.094,0.148
77,7,7,L,True,1.72,3.071,3.127,2.952,3.111,0.473,2.238,2.268,2.247,2.071,1.501,0.194,0.23,0.109,0.282
78,11,8,R,False,2.171,3.003,2.817,1.462,1.758,0.804,2.24,2.263,1.187,1.416,1.195,0.084,0.197,1.429,1.511
79,11,9,R,False,2.461,3.015,2.026,1.417,1.77,0.974,2.078,1.55,1.351,1.61,0.925,0.191,1.005,1.694,1.657
80,10,10,L,True,2.514,1.391,1.141,1.127,2.031,0.424,1.031,0.95,1.101,1.636,0.729,1.837,2.113,2.457,0.418
81,11,11,L,True,2.057,2.955,3.025,1.851,2.091,0.915,2.139,2.049,1.502,1.779,1.232,0.116,0.481,1.671,1.839
82,0,12,L,False,3.002,1.713,1.387,1.455,2.988,2.009,1.234,1.125,1.127,2.465,0.28,1.978,2.357,2.09,0.522
83,13,13,L,True,2.156,2.911,1.81,1.281,1.649,1.204,1.896,1.204,1.039,1.288,1.156,0.849,1.907,2.377,2.619
84,14,14,L,True,1.973,2.963,2.938,2.965,2.245,0.816,2.111,2.339,1.98,1.895,1.345,0.231,0.308,0.523,1.542
