,gesture,real,LR,match,FA1,2,3,4,5,FD1,2,3,4,5,HA1,2,3,4,5
1,1,1,R,TRUE,1.788,0.505,0.526,0.57,0.734,1.222,0.53,0.502,0.543,0.722,1.397,2.367,2.118,2.104,1.912
2,0,2,R,FALSE,2.714,1.172,1.373,1.38,2.528,2.098,1.51,1.208,1.296,2.005,0.331,2.659,2.343,2.463,1.992
3,3,3,R,TRUE,2.705,2.89,1.831,1.781,2.208,2.026,2.24,1.446,1.358,1.653,0.26,0.309,2.118,2.208,2.116
4,4,4,R,TRUE,2.777,3.056,2.944,1.552,1.827,1.92,2.164,2.161,1.699,1.724,0.188,0.086,0.125,2.269,2.24
5,6,5,R,FALSE,3.047,3.048,3.056,2.368,2.289,1.96,2.177,2.425,1.876,2.193,0.317,0.172,0.113,0.802,1.845
6,6,6,R,TRUE,2.97,3.001,3.092,3.109,3.11,2.014,2.21,2.396,2.424,2.315,0.044,0.048,0.129,0.21,0.325
7,7,7,R,TRUE,1.653,3.078,3.083,3.033,3.054,0.827,2.242,2.284,2.38,2.315,1.494,0.153,0.074,0.066,0.194
8,7,8,R,FALSE,2.164,1.897,2.915,2.907,2.786,1.254,2.467,2.247,2.126,2.076,0.997,1.853,0.399,0.156,0.202
9,10,9,R,FALSE,2.025,1.462,1.5,1.122,2.82,0.734,1.839,1.649,0.903,1.792,1.299,2.214,2.18,1.05,0.309
10,1,10,R,FALSE,2.089,1.475,1.348,1.461,1.926,0.859,1.596,1.69,1.89,1.263,1.278,2.034,2.244,2.272,0.811
11,11,11,L,TRUE,1.895,3.011,2.942,1.949,2.011,1.111,2.155,2.573,1.865,1.908,1.275,0.026,0.071,2.097,2.127
12,12,12,R,TRUE,2.962,3.031,1.843,2.048,2.659,1.911,2.276,1.913,1.947,1.392,0.16,0.311,2.32,2.145,0.626
13,13,13,R,TRUE,1.843,2.841,1.942,1.861,2.422,0.867,2.02,1.525,1.394,1.713,1.348,0.232,2.12,2.252,2.06
14,7,14,R,FALSE,1.968,3.135,3.071,2.963,2.126,1.252,2.284,2.388,2.535,2.253,1.3,0.122,0.068,0.272,1.752
