,gesture,real,match,FA1,2,3,4,5,FD1,2,3,4,5,HA1,2,3,4,5
1,1,1,True,2.409,0.921,0.772,0.917,1.039,1.229,0.965,0.853,0.979,1.245,0.925,2.415,2.803,2.676,2.671
2,2,2,True,2.882,1.132,1.261,1.343,1.856,2.19,1.348,1.267,1.351,1.716,0.115,2.566,2.697,2.731,2.438
3,3,3,True,2.876,2.906,1.505,1.553,1.918,1.938,2.295,1.35,1.32,1.607,0.16,0.386,2.441,2.485,2.454
4,4,4,True,2.867,2.972,3.004,1.614,1.605,1.816,2.13,2.113,2.129,2.046,0.158,0.127,0.242,2.536,2.43
5,6,5,False,2.946,3.095,3.056,2.953,2.075,1.831,2.169,2.256,1.964,1.703,0.11,0.113,0.15,0.264,1.216
6,6,6,True,2.989,3.079,2.965,3.089,3.066,1.933,2.264,2.362,2.358,2.313,0.186,0.233,0.153,0.119,0.109
7,7,7,True,1.68,3.065,3.059,3.012,3.081,0.808,2.278,2.339,2.438,2.448,1.562,0.197,0.099,0.127,0.09
8,8,8,True,2.382,1.367,2.963,3.039,2.954,1.152,1.797,2.335,2.258,2.295,0.947,1.854,0.087,0.029,0.095
9,9,9,True,2.475,0.777,1.103,2.349,2.885,0.716,1.255,1.474,1.367,2.335,0.964,2.465,2.331,0.332,0.3
10,10,10,True,2.356,0.94,1.049,0.775,2.889,0.893,1.234,1.465,1.115,2.192,1.106,2.339,2.414,2.412,0.056
11,11,11,True,2.224,3.031,3.031,1.371,1.486,0.686,2.362,2.376,1.53,1.782,1.154,0.123,0.228,1.766,1.91
12,12,12,True,3.049,3.042,1.446,1.402,2.921,1.923,2.294,1.799,1.857,2.173,0.232,0.443,2.566,2.452,0.246
13,13,13,True,2.29,2.977,1.835,1.869,2.173,0.774,2.093,1.853,1.651,1.994,0.968,0.319,2.214,2.252,2.138
14,14,14,True,1.945,2.969,3.081,3.086,1.794,0.478,2.226,2.49,2.466,2.384,1.332,0.215,0.099,0.092,2.045
15,1,1,True,2.349,0.415,0.525,0.579,0.441,1.229,0.403,0.502,0.566,0.56,0.92,1.869,2.141,2.254,2.402
16,2,2,True,2.883,0.419,0.886,0.88,1.115,2.209,0.906,0.852,0.874,1.32,0.17,2.905,2.289,2.345,2.201
17,3,3,True,2.957,2.883,1.608,1.706,1.964,1.928,2.257,1.452,1.513,1.791,0.095,0.336,2.333,2.399,2.355
18,6,4,False,2.949,3.021,2.4,2.245,2.182,1.786,2.211,1.812,1.959,2.141,0.209,0.171,1.0,2.132,2.217
19,6,5,False,3.105,3.081,3.038,3.036,2.529,1.732,2.218,2.328,2.385,1.736,0.271,0.048,0.178,0.128,0.673
20,6,6,True,3.022,3.062,2.996,3.056,3.115,1.903,2.274,2.415,2.416,2.397,0.241,0.178,0.099,0.059,0.084
21,7,7,True,1.797,3.03,3.09,3.028,3.077,0.732,2.307,2.411,2.55,2.437,1.455,0.154,0.095,0.122,0.04
22,7,8,False,2.457,1.743,3.012,3.129,2.959,1.431,2.046,2.333,2.228,2.314,0.748,1.625,0.129,0.012,0.152
23,10,9,False,2.211,1.149,1.32,0.592,3.024,0.644,1.796,1.738,0.632,2.321,1.219,2.343,2.254,0.864,0.08
24,10,10,True,2.183,1.214,1.219,0.914,3.034,1.029,1.58,1.681,1.311,2.319,1.277,2.292,2.378,2.314,0.008
25,11,11,True,2.145,2.956,3.066,1.423,1.328,0.623,2.202,2.384,1.702,1.744,1.141,0.226,0.224,2.055,1.995
26,12,12,True,3.055,2.97,1.682,1.704,2.928,1.969,2.293,2.083,2.183,2.292,0.33,0.346,2.556,2.487,0.313
27,14,14,True,2.156,3.081,3.008,2.944,1.343,0.885,2.594,2.521,2.153,1.638,1.336,0.156,0.195,0.015,1.748
28,1,1,True,2.331,0.798,0.703,0.865,1.058,1.225,0.717,0.664,0.821,1.269,0.96,1.709,2.34,2.348,2.423
29,2,2,True,2.914,1.094,1.407,1.365,1.886,2.223,1.398,1.313,1.38,1.877,0.124,2.636,2.524,2.649,2.376
30,3,3,True,3.031,2.818,1.445,1.496,1.653,1.878,2.29,1.368,1.417,1.726,0.163,0.341,2.389,2.475,2.426
31,6,5,False,3.078,3.049,3.033,3.02,2.232,1.835,2.187,2.386,2.244,1.851,0.272,0.159,0.139,0.334,1.103
32,6,6,True,2.999,3.061,3.038,3.081,3.124,1.858,2.271,2.416,2.413,2.398,0.219,0.16,0.078,0.046,0.087
33,7,7,True,1.719,3.048,3.089,3.026,3.069,0.675,2.306,2.44,2.492,2.443,1.532,0.184,0.096,0.117,0.066
34,8,8,True,2.381,1.433,3.011,3.103,2.975,1.308,1.808,2.383,2.346,2.353,0.883,1.787,0.045,0.026,0.173
35,10,9,False,2.342,1.035,1.203,1.738,2.969,0.754,1.673,1.635,1.08,2.413,1.086,2.417,2.42,0.472,0.188
36,10,10,True,2.31,1.042,1.166,0.907,2.918,1.018,1.41,1.568,1.317,2.227,1.193,2.364,2.485,2.424,0.068
37,11,11,True,2.053,2.939,3.002,1.624,1.831,0.554,2.193,2.305,1.794,2.075,1.201,0.219,0.224,2.06,2.036
38,12,12,True,2.991,2.932,1.73,1.742,2.919,2.017,2.288,2.053,2.141,2.224,0.28,0.361,2.513,2.455,0.309
39,14,14,True,2.016,3.022,3.128,3.068,1.879,0.729,2.211,2.461,2.572,2.302,1.261,0.174,0.129,0.102,1.771
40,13,13,True,2.457,3.012,1.859,1.824,2.438,0.793,2.154,1.662,1.482,1.871,0.81,0.309,2.129,2.241,2.168
41,4,4,True,3.069,3.011,3.033,1.157,1.154,1.696,2.147,2.348,1.98,1.942,0.286,0.192,0.31,2.513,2.334
42,13,13,True,2.504,3.029,1.897,1.792,2.132,0.879,2.112,1.856,1.592,1.936,0.776,0.331,2.084,2.139,2.063
43,1,1,True,2.094,0.638,1.046,1.247,1.704,1.194,1.071,0.979,1.188,2.022,1.159,2.871,2.409,2.455,2.598
44,3,2,False,2.836,1.774,2.087,1.845,2.329,1.994,1.911,1.466,1.414,1.935,0.255,2.583,2.303,2.388,2.327
45,3,3,True,3.066,2.953,1.807,1.702,2.186,1.832,2.286,1.535,1.375,1.862,0.207,0.423,2.271,2.418,2.537
46,4,4,True,3.116,2.968,3.018,1.667,2.325,1.657,2.371,1.575,1.477,1.701,0.329,0.222,0.683,2.482,2.363
47,5,5,True,3.03,3.058,3.048,3.084,1.536,1.7,2.161,2.219,2.19,1.442,0.398,0.189,0.162,0.363,1.41
48,6,6,True,3.01,3.084,3.076,3.004,3.014,2.004,2.209,2.272,2.367,2.419,0.368,0.085,0.11,0.151,0.053
49,7,7,True,1.803,2.985,3.089,3.005,3.025,1.019,2.216,2.284,2.426,2.423,1.437,0.08,0.093,0.062,0.14
50,8,8,True,2.409,1.478,3.033,3.078,3.06,1.293,1.909,2.154,2.18,2.249,0.846,1.942,0.225,0.064,0.033
51,9,9,True,2.102,0.967,1.025,2.791,3.006,0.738,1.574,1.215,1.341,2.36,1.312,2.267,1.818,0.469,0.218
52,10,10,True,2.174,0.958,1.001,0.707,3.054,0.755,1.284,1.439,1.092,2.345,1.284,2.261,2.214,2.274,0.109
53,11,11,True,2.281,2.966,2.987,0.995,1.213,0.653,2.108,2.217,1.163,1.427,1.148,0.096,0.243,1.994,1.884
54,12,12,True,3.0,2.969,1.314,1.225,2.774,1.767,2.166,2.19,1.718,2.097,0.428,0.393,2.77,2.642,0.219
55,13,13,True,2.28,3.053,1.441,1.508,1.607,0.86,2.166,1.708,1.809,2.282,1.044,0.424,2.194,2.389,2.435
56,14,14,True,2.164,3.002,3.064,2.914,1.642,0.622,2.178,2.218,2.282,1.978,1.27,0.123,0.063,0.126,1.975
57,1,1,True,1.931,0.518,0.86,1.012,1.146,1.195,0.743,0.795,0.963,1.485,1.323,2.826,2.308,2.369,2.613
58,2,2,True,2.787,1.071,1.672,1.357,1.674,2.138,1.93,1.362,1.208,1.615,0.226,2.854,2.108,2.286,2.2
59,3,3,True,2.942,3.031,1.811,1.631,2.197,1.897,2.244,1.687,1.41,1.957,0.115,0.488,2.176,2.396,2.551
60,4,4,True,3.063,2.948,2.849,1.858,2.422,1.762,2.234,1.432,1.535,1.567,0.277,0.169,0.665,2.533,2.563
61,5,5,True,3.024,3.069,3.006,3.082,1.91,1.648,2.135,2.242,2.285,1.585,0.398,0.173,0.172,0.304,1.087
62,6,6,True,3.025,3.095,3.088,3.043,3.065,1.977,2.189,2.267,2.379,2.407,0.383,0.078,0.103,0.132,0.075
63,7,7,True,1.846,2.962,3.116,3.048,3.099,0.978,2.199,2.284,2.395,2.425,1.405,0.064,0.117,0.06,0.094
64,8,8,True,2.351,1.461,3.05,3.048,2.997,0.916,1.743,2.319,2.258,2.333,0.956,1.954,0.086,0.073,0.141
65,10,9,False,2.464,0.843,1.198,1.224,3.008,0.527,1.338,1.671,0.941,2.32,1.01,2.592,2.263,0.913,0.149
66,10,10,True,2.696,1.214,1.156,0.838,3.028,1.081,1.517,1.644,1.433,2.265,0.818,2.173,2.303,2.466,0.133
67,11,11,True,2.263,2.996,2.979,1.184,1.537,0.724,2.107,2.145,1.248,1.699,1.134,0.085,0.228,1.807,1.954
68,12,12,True,2.989,2.848,1.325,1.259,2.828,1.786,2.108,2.072,1.719,2.174,0.45,0.402,2.756,2.639,0.206
69,13,13,True,2.2,3.056,1.48,1.523,1.698,0.851,2.094,1.65,1.669,2.274,1.128,0.367,2.189,2.352,2.339
70,14,14,True,2.207,3.047,3.049,2.971,1.492,0.778,2.233,2.243,2.288,1.669,1.231,0.112,0.121,0.118,1.774
71,1,1,True,1.953,0.746,1.114,1.22,1.751,1.137,0.835,0.953,1.096,1.926,1.295,2.579,2.259,2.472,2.855
72,3,2,False,3.096,1.829,1.703,1.751,2.984,2.371,2.325,1.292,1.324,1.713,0.404,2.453,1.941,2.112,1.97
73,3,3,True,2.981,2.909,1.906,1.74,2.36,1.748,2.258,1.51,1.338,1.706,0.43,0.49,2.191,2.425,2.553
74,4,4,True,3.098,2.986,2.482,1.6,2.186,1.718,2.324,1.339,1.444,1.48,0.323,0.18,0.918,2.427,2.441
75,5,5,True,3.051,3.048,3.067,3.056,1.18,1.81,2.257,2.176,2.367,1.197,0.444,0.17,0.145,0.34,1.563
76,6,6,True,2.985,3.092,3.126,3.016,3.041,2.068,2.207,2.305,2.39,2.413,0.471,0.026,0.034,0.151,0.067
77,7,7,True,1.767,2.953,3.125,3.034,3.088,0.993,2.192,2.293,2.401,2.408,1.474,0.05,0.087,0.063,0.1
78,8,8,True,2.492,1.675,2.964,3.024,3.016,1.357,2.115,2.024,2.168,2.187,0.781,1.942,0.297,0.149,0.059
79,10,9,False,2.33,0.926,1.221,0.902,3.01,0.576,1.271,1.596,0.792,2.361,1.097,2.347,2.192,1.313,0.158
80,10,10,True,2.435,1.07,1.129,0.841,3.039,1.016,1.418,1.631,1.4,2.26,1.0,2.176,2.276,2.346,0.062
81,11,11,True,2.153,2.961,2.965,1.272,1.527,0.699,2.061,2.113,1.255,1.635,1.229,0.16,0.233,1.787,2.002
82,12,12,True,2.943,2.877,1.478,1.425,2.837,1.814,2.094,1.912,1.702,2.146,0.529,0.375,2.511,2.418,0.197
83,13,13,True,2.325,3.076,1.797,1.744,1.907,1.054,2.208,1.94,1.765,2.324,0.967,0.447,2.224,2.433,2.566
