,gesture,real,match,FA1,2,3,4,5,FD1,2,3,4,5,HA1,2,3,4,5
1,1,1,True,2.193,0.531,0.573,0.627,0.655,1.271,0.525,0.543,0.6,0.783,1.153,2.07,2.021,2.191,2.325
2,2,2,True,3.028,0.412,0.651,0.701,0.895,2.143,0.731,0.613,0.662,1.0,0.214,2.831,2.056,2.058,2.178
3,3,3,True,2.899,2.971,1.146,1.027,0.937,1.737,2.129,1.114,1.015,0.97,0.019,0.322,1.965,2.051,1.851
4,4,4,True,2.986,3.049,3.032,0.958,0.647,1.834,2.195,2.255,1.316,0.888,0.101,0.071,0.163,2.309,2.349
5,5,5,True,3.113,3.036,3.054,3.035,1.626,1.887,2.165,2.232,2.254,1.631,0.186,0.009,0.037,0.042,1.499
6,6,6,True,2.925,3.086,3.004,3.028,2.966,1.943,2.14,2.21,2.258,2.219,0.393,0.144,0.081,0.116,0.23
7,7,7,True,1.927,3.053,3.114,3.031,3.06,0.659,2.283,2.296,2.501,2.238,1.353,0.129,0.109,0.152,0.079
8,8,8,True,2.086,1.092,3.037,3.115,2.894,0.758,1.29,2.31,2.339,2.288,1.236,1.782,0.106,0.018,0.145
9,9,9,True,2.355,0.882,0.744,2.943,3.024,1.125,1.659,0.947,2.055,2.3,0.961,2.099,1.8,0.128,0.111
10,10,10,True,2.129,0.935,1.228,1.063,2.979,1.158,1.166,1.435,1.459,2.151,1.177,2.258,2.322,2.391,0.172
11,11,11,True,2.468,3.092,3.075,1.128,1.337,0.736,2.203,2.222,1.315,1.572,0.865,0.105,0.156,1.794,1.797
12,12,12,True,3.022,2.948,1.38,1.34,2.839,2.06,2.203,1.675,1.674,2.193,0.165,0.354,2.459,2.374,0.212
13,14,14,True,2.221,3.037,3.107,3.082,1.532,0.623,2.278,2.283,2.595,2.175,1.078,0.025,0.058,0.166,1.944
14,13,13,True,2.474,3.026,1.269,1.227,1.211,0.764,2.127,1.463,1.476,1.627,0.848,0.263,1.957,2.012,1.818
15,1,1,True,1.998,0.576,0.667,0.584,0.551,1.251,0.656,0.628,0.573,0.681,1.287,2.361,2.073,2.2,2.297
16,2,2,True,2.984,0.321,0.712,0.766,1.074,2.218,0.745,0.655,0.699,1.116,0.283,2.97,1.929,1.933,2.077
17,3,3,True,2.888,2.988,1.483,1.445,1.383,1.98,2.232,1.504,1.453,1.51,0.055,0.352,2.254,2.227,2.108
18,4,4,True,2.98,3.068,3.045,1.025,0.851,1.873,2.219,2.26,1.25,1.064,0.168,0.031,0.18,2.111,2.17
19,4,5,False,2.857,2.888,2.604,1.877,1.908,1.372,1.981,1.581,1.242,1.231,0.435,0.698,1.4,1.825,1.883
20,6,6,True,2.944,3.096,2.994,3.029,2.978,1.913,2.124,2.218,2.243,2.233,0.42,0.117,0.088,0.141,0.194
21,7,7,True,1.956,3.081,3.132,3.059,3.062,0.586,2.279,2.23,2.416,2.206,1.328,0.175,0.11,0.164,0.056
22,8,8,True,2.104,1.199,3.063,3.072,2.904,0.892,1.284,2.304,2.244,2.213,1.191,1.677,0.15,0.041,0.187
23,9,9,True,2.382,0.796,0.825,3.089,3.009,0.952,1.364,0.966,2.139,2.227,1.007,2.153,1.779,0.168,0.026
24,10,10,True,2.092,0.82,1.008,0.95,2.762,1.116,0.975,1.215,1.324,2.099,1.245,2.343,2.477,2.594,0.197
25,11,11,True,2.442,3.097,3.081,1.109,1.365,0.758,2.198,2.2,1.355,1.679,0.931,0.043,0.129,1.927,1.95
26,12,12,True,3.05,2.955,1.514,1.448,2.814,2.207,2.201,1.808,1.788,2.127,0.206,0.366,2.478,2.416,0.176
27,13,13,True,2.33,2.989,2.097,1.864,1.992,0.892,2.426,1.702,1.671,1.856,0.936,0.206,1.574,2.114,2.083
28,14,14,True,2.031,3.065,3.107,3.097,1.449,0.384,2.284,2.261,2.515,2.079,1.358,0.076,0.012,0.115,2.057
29,1,1,True,1.938,0.419,0.615,0.542,0.46,1.151,0.489,0.578,0.535,0.625,1.377,2.459,1.976,2.19,2.393
30,2,2,True,3.008,0.329,0.731,0.773,1.071,2.166,1.136,0.717,0.789,1.481,0.197,2.852,2.3,2.357,2.388
31,3,3,True,2.914,3.01,1.171,1.186,1.1,1.957,2.191,1.32,1.279,1.25,0.072,0.328,2.279,2.24,2.099
32,4,4,True,2.991,3.067,3.034,0.829,0.885,1.875,2.176,2.249,1.128,1.087,0.083,0.074,0.179,2.149,2.053
33,5,5,True,3.062,3.072,3.025,3.047,1.725,2.033,2.187,2.158,2.201,1.811,0.313,0.147,0.042,0.114,1.773
34,6,6,True,2.942,3.074,2.961,2.997,2.974,1.869,2.142,2.249,2.292,2.277,0.429,0.194,0.123,0.118,0.178
