,gesture,real,match,FA1,2,3,4,5,FD1,2,3,4,5,HA1,2,3,4,5
1,1,1,True,2.269,1.759,1.293,1.102,1.302,1.228,1.406,1.113,1.041,1.363,1.034,1.722,2.157,2.425,2.541
2,1,2,False,2.182,1.349,1.209,1.102,1.801,1.1,1.444,1.065,1.071,1.132,1.219,2.205,2.234,2.537,1.937
3,3,3,True,2.565,2.927,1.849,1.74,2.016,2.016,2.236,1.513,1.359,1.631,0.386,0.355,1.963,2.111,2.086
4,4,4,True,2.882,3.082,3.012,1.59,1.684,1.952,2.206,2.422,2.008,1.891,0.159,0.07,0.19,1.904,1.851
5,6,5,False,2.862,3.046,3.01,2.696,2.473,1.8,2.181,2.238,2.092,2.213,0.545,0.123,0.115,0.662,1.475
6,6,6,True,2.948,3.077,2.957,2.979,3.066,1.968,2.254,2.372,2.389,2.368,0.343,0.153,0.092,0.069,0.063
7,7,7,True,2.267,3.081,3.051,3.029,3.101,1.052,2.263,2.272,2.455,2.485,1.004,0.125,0.049,0.109,0.122
8,8,8,True,2.443,1.532,2.943,2.933,3.089,1.568,1.883,2.465,2.405,2.481,0.723,1.614,0.181,0.078,0.257
9,9,9,True,2.534,1.313,1.48,2.844,3.029,1.188,1.215,1.51,2.138,2.368,0.825,1.37,1.535,0.304,0.196
10,10,10,True,2.26,1.186,0.899,1.179,2.646,1.098,1.168,0.977,1.465,2.252,1.08,2.019,2.341,2.458,0.387
11,11,11,True,2.273,3.106,3.1,1.919,2.174,0.963,2.306,2.37,1.95,1.992,0.919,0.181,0.137,1.756,1.695
12,12,12,True,3.133,2.842,1.702,1.813,2.854,1.953,2.291,1.949,2.065,2.323,0.385,0.312,2.47,2.39,0.323
13,13,13,True,2.455,3.016,1.504,1.474,1.682,0.932,2.217,1.438,1.322,1.502,0.782,0.502,2.159,2.258,2.235
14,14,14,True,2.133,3.059,3.079,3.134,1.407,0.803,2.31,2.289,2.428,1.552,1.081,0.147,0.07,0.103,1.562
15,1,1,True,2.392,0.816,0.726,0.826,0.917,1.369,0.832,0.715,0.805,0.961,0.83,2.322,2.461,2.37,2.321
16,2,2,True,2.637,1.049,1.078,1.127,2.186,2.037,1.314,1.078,1.132,1.672,0.416,2.684,2.544,2.613,1.924
17,3,3,True,2.488,2.89,1.468,1.372,1.865,1.853,2.245,1.252,1.147,1.386,0.529,0.343,2.09,2.254,2.121
18,4,4,True,2.868,3.033,3.009,1.785,1.847,1.81,2.135,2.359,1.878,1.907,0.088,0.082,0.133,2.054,2.021
19,6,5,False,3.045,3.091,3.066,2.874,2.123,1.769,2.212,2.232,1.974,1.985,0.363,0.132,0.101,0.495,1.494
20,6,6,True,3.041,3.078,3.046,3.13,3.074,1.891,2.256,2.356,2.32,2.336,0.144,0.12,0.049,0.032,0.111
21,7,7,True,2.249,3.105,3.074,3.044,3.122,0.864,2.227,2.266,2.465,2.355,0.981,0.18,0.056,0.105,0.089
22,4,8,False,2.977,3.043,3.011,1.932,1.916,1.877,2.189,2.535,1.978,1.835,0.208,0.094,0.149,1.961,1.972
23,9,9,True,2.456,0.523,0.655,2.92,2.937,0.917,0.732,0.846,1.991,2.273,0.814,2.344,2.224,0.329,0.269
24,10,10,True,2.383,0.79,0.834,0.954,2.671,1.085,0.82,0.921,1.256,2.24,0.906,2.207,2.413,2.556,0.318
25,11,11,True,2.196,3.054,3.021,1.86,2.14,0.697,2.257,2.422,1.768,1.794,1.008,0.193,0.144,1.835,1.833
26,12,12,True,3.085,2.994,1.341,1.334,2.921,1.801,2.219,1.657,1.733,2.231,0.341,0.398,2.528,2.46,0.295
27,13,13,True,2.457,3.007,1.829,1.755,2.257,0.928,2.295,1.583,1.352,1.593,0.765,0.41,1.98,2.198,2.138
28,14,14,True,2.095,3.031,3.102,3.127,1.687,0.684,2.264,2.297,2.39,1.957,1.122,0.189,0.084,0.189,1.656
29,1,1,True,2.432,0.967,0.743,0.883,1.088,1.233,0.973,0.769,0.886,1.155,0.825,2.283,2.565,2.459,2.471
30,2,2,True,2.742,1.278,1.254,1.322,2.042,1.882,1.376,1.221,1.302,1.654,0.282,2.569,2.631,2.693,2.173
31,3,3,True,2.568,2.865,1.519,1.407,1.887,1.818,2.204,1.338,1.187,1.405,0.457,0.323,2.147,2.309,2.167
32,4,4,True,2.867,3.082,2.991,1.812,1.793,1.817,2.234,2.512,1.81,1.716,0.062,0.184,0.216,1.977,1.985
33,6,5,False,3.028,3.074,3.005,2.605,2.261,1.829,2.179,2.355,1.978,1.905,0.387,0.061,0.06,0.599,1.335
34,6,6,True,2.991,3.041,3.094,3.058,2.923,1.866,2.384,2.514,2.362,2.385,0.206,0.041,0.11,0.153,0.187
35,7,7,True,2.346,3.114,3.04,3.05,3.121,0.91,2.249,2.28,2.458,2.506,0.915,0.187,0.065,0.084,0.078
36,9,9,True,2.56,0.676,1.037,2.828,2.848,0.981,0.77,1.148,1.906,2.202,0.722,2.041,1.947,0.397,0.317
37,10,10,True,2.355,0.81,0.781,1.001,2.646,1.069,0.828,0.883,1.348,2.3,0.935,2.262,2.471,2.623,0.372
38,11,11,True,2.175,3.09,3.045,1.672,1.965,0.68,2.28,2.436,1.71,1.796,1.062,0.261,0.148,1.91,1.858
39,12,12,True,3.023,2.959,1.438,1.449,2.839,1.82,2.202,1.678,1.74,2.249,0.157,0.476,2.457,2.385,0.388
40,13,13,True,2.432,3.054,1.441,1.455,1.746,1.015,2.155,1.388,1.338,1.622,0.781,0.495,2.168,2.274,2.225
41,14,14,True,2.314,3.131,3.065,3.078,1.586,0.707,2.306,2.282,2.317,1.658,0.951,0.231,0.083,0.048,1.591
42,8,8,True,2.535,1.358,2.907,2.938,3.078,1.478,1.74,2.456,2.465,2.594,0.602,1.763,0.17,0.09,0.271
43,1,1,True,2.409,1.473,1.476,1.417,1.785,1.095,1.65,1.321,1.32,1.587,0.922,2.656,2.511,2.618,2.471
44,2,2,True,3.094,1.737,1.71,1.889,3.004,1.763,1.418,1.196,1.272,1.774,0.288,2.64,2.336,2.387,2.018
45,3,3,True,3.067,2.952,1.644,1.339,1.854,2.278,2.226,1.325,1.022,1.275,0.275,0.47,2.425,2.537,2.63
46,4,4,True,3.079,2.971,2.937,1.692,1.864,1.896,2.226,2.187,1.952,2.167,0.253,0.054,0.187,2.166,2.146
47,6,5,False,3.113,3.053,3.057,3.006,2.402,1.792,2.116,2.212,2.347,1.859,0.232,0.089,0.074,0.2,0.745
48,6,6,True,3.027,2.934,3.05,3.041,3.1,1.883,2.188,2.248,2.327,2.345,0.164,0.137,0.092,0.069,0.194
49,7,7,True,1.932,3.002,3.131,3.011,2.993,0.727,2.219,2.33,2.39,2.372,1.355,0.048,0.108,0.061,0.304
50,6,8,False,2.781,1.749,3.016,3.072,3.011,1.453,1.737,2.173,2.304,2.396,0.434,1.564,0.231,0.021,0.235
51,9,9,True,2.569,0.778,1.234,2.706,2.969,1.019,0.899,1.293,1.731,2.344,0.784,1.989,2.015,0.37,0.245
52,10,10,True,2.339,0.822,0.863,1.04,2.901,0.853,0.941,1.14,1.662,2.253,0.975,2.202,2.387,2.476,0.195
53,11,11,True,2.078,2.988,2.896,1.922,2.161,0.722,2.159,2.288,1.533,1.733,1.17,0.196,0.183,1.886,2.055
54,12,12,True,2.87,3.092,1.502,1.57,2.845,1.616,2.233,1.908,1.757,2.12,0.581,0.267,2.356,2.178,0.284
55,13,13,True,2.374,3.003,1.902,2.097,2.584,0.887,2.136,1.619,1.462,1.706,0.931,0.294,1.968,2.085,2.063
56,14,14,True,2.055,3.019,3.01,2.868,1.813,0.688,2.106,2.234,2.352,1.956,1.218,0.155,0.148,0.262,1.826
57,1,1,True,2.515,1.237,1.276,1.339,1.553,1.109,1.37,1.223,1.325,1.417,0.878,2.622,2.726,2.818,2.719
58,3,2,False,3.054,1.932,1.682,1.606,1.976,1.799,1.91,1.481,1.541,1.454,0.218,2.487,2.622,2.796,2.408
59,3,3,True,2.983,2.98,1.605,1.566,1.907,1.576,2.224,1.483,1.333,1.52,0.267,0.397,2.224,2.378,2.314
60,4,4,True,3.134,2.953,2.879,1.727,1.99,1.834,2.205,2.219,1.951,2.35,0.327,0.11,0.227,2.227,2.198
61,6,5,False,3.022,2.961,2.993,3.035,2.035,1.712,2.238,2.258,2.353,2.158,0.469,0.084,0.099,0.323,1.576
62,6,6,True,3.009,3.052,3.121,3.066,3.054,1.777,2.177,2.252,2.261,2.319,0.287,0.122,0.103,0.05,0.16
63,7,7,True,1.952,3.009,3.103,3.019,3.004,0.719,2.27,2.323,2.367,2.381,1.353,0.082,0.098,0.022,0.223
64,9,9,True,2.674,0.967,1.282,2.929,2.995,1.104,1.009,1.314,1.962,2.425,0.642,1.75,1.835,0.203,0.329
65,10,10,True,2.39,1.059,1.203,1.322,2.893,0.916,1.212,1.49,1.666,2.12,0.897,2.114,2.236,2.215,0.181
66,11,11,True,2.075,2.979,2.959,1.653,1.86,0.724,2.102,2.159,1.627,1.841,1.172,0.069,0.134,1.662,1.715
67,12,12,True,3.077,2.924,1.619,1.603,2.683,1.698,2.201,2.104,1.869,1.98,0.302,0.292,2.531,2.378,0.324
68,14,14,True,2.206,3.027,2.997,2.917,1.765,0.938,2.148,2.25,2.249,1.79,1.047,0.077,0.186,0.219,1.583
69,13,13,True,2.415,3.059,1.494,1.547,1.544,1.071,2.307,1.489,1.51,1.533,0.745,0.24,1.811,1.818,1.509
70,13,1,False,2.445,2.057,1.929,1.494,1.373,1.055,1.565,1.34,1.084,0.982,0.993,1.011,1.807,2.001,1.711
71,7,2,False,1.908,2.619,2.502,2.354,2.759,0.77,1.668,1.611,1.575,1.938,1.384,1.835,1.991,1.812,1.339
72,2,2,True,3.025,1.7,1.73,1.797,2.719,1.859,1.419,1.192,1.252,1.725,0.157,2.579,2.269,2.365,2.129
73,3,3,True,3.062,2.891,1.894,1.584,2.301,1.813,2.227,1.424,1.174,1.584,0.208,0.452,2.026,2.203,2.356
74,4,4,True,3.058,2.934,2.888,1.773,1.954,1.889,2.255,2.196,2.014,2.342,0.251,0.107,0.208,2.197,2.245
75,5,5,True,2.996,2.913,2.931,3.053,1.784,1.738,2.087,2.148,2.431,2.362,0.519,0.156,0.147,0.31,1.99
76,6,6,True,3.008,3.129,3.083,2.99,3.027,1.938,2.15,2.258,2.303,2.324,0.352,0.183,0.187,0.175,0.133
77,7,7,True,2.008,2.995,3.115,3.013,3.011,0.809,2.28,2.32,2.379,2.455,1.32,0.136,0.052,0.055,0.17
78,7,8,False,2.54,1.569,3.004,3.042,3.013,1.523,1.572,2.29,2.313,2.343,0.692,1.49,0.198,0.083,0.207
79,9,9,True,2.506,0.738,1.442,2.564,2.904,1.041,0.801,1.523,1.698,2.424,0.832,1.877,2.15,0.211,0.24
80,10,10,True,2.451,1.318,1.327,1.432,2.825,0.928,1.429,1.617,1.823,1.955,0.876,1.931,2.137,2.245,0.044
81,11,11,True,2.209,3.001,3.034,1.753,1.867,0.763,2.091,2.314,1.818,2.047,1.067,0.045,0.141,1.903,1.967
82,12,12,True,3.027,2.959,1.706,1.676,2.749,2.014,2.184,1.996,1.792,1.964,0.245,0.248,2.359,2.239,0.188
83,6,13,False,3.021,2.993,2.994,2.987,2.97,3.64,2.298,2.377,2.326,2.211,0.163,0.126,0.129,0.199,0.226
84,14,14,True,2.119,3.022,3.019,2.97,1.651,0.693,2.209,2.313,2.406,1.835,1.172,0.151,0.131,0.21,1.732
