,gesture,real,match,FA1,2,3,4,5,FD1,2,3,4,5,HA1,2,3,4,5
1,1,1,TRUE,2.489,0.587,0.49,0.729,0.901,1.276,0.581,0.505,0.701,0.934,0.755,2.297,2.636,2.4,2.377
2,2,2,TRUE,3.116,0.591,0.713,0.768,1.124,1.939,0.947,0.723,0.77,1.256,0.199,2.784,2.482,2.455,2.398
3,3,3,TRUE,2.987,2.871,1.235,1.28,1.515,1.847,2.229,1.109,1.095,1.41,0.038,0.404,2.221,2.161,2.077
4,4,4,TRUE,2.949,3.062,3.055,1.04,1.257,1.714,2.207,2.224,1.306,1.529,0.099,0.142,0.251,2.058,1.998
5,5,5,TRUE,3.052,2.991,3.032,2.943,1.761,1.814,2.171,2.224,2.395,2.362,0.277,0.158,0.098,0.099,2.168
6,6,6,TRUE,2.986,3.021,2.919,2.995,3.05,1.808,2.201,2.336,2.341,2.311,0.28,0.24,0.142,0.071,0.08
7,7,7,TRUE,1.798,3.017,3.075,3.029,2.992,0.696,2.308,2.374,2.472,2.276,1.444,0.249,0.149,0.175,0.041
8,8,8,TRUE,2.471,1.071,2.852,2.964,3.024,1.034,1.36,2.203,2.387,2.458,0.799,1.914,0.117,0.101,0.128
9,9,9,TRUE,2.467,0.585,1.24,2.938,2.86,0.693,0.939,1.353,2.028,2.254,0.901,2.415,1.964,0.265,0.245
10,10,10,TRUE,2.654,0.967,1.101,0.941,2.807,1.14,1.259,1.49,1.278,2.139,0.763,2.317,2.291,2.311,0.123
11,11,11,TRUE,2.13,2.988,3.032,1.092,1.2,0.772,2.186,2.334,1.276,1.293,1.161,0.371,0.333,2.111,2.002
12,12,12,TRUE,3.002,3.055,1.342,1.262,2.965,1.73,2.272,1.69,1.616,2.256,0.415,0.455,2.46,2.354,0.226
13,13,13,TRUE,2.399,2.993,1.631,1.713,2.304,0.887,2.114,1.392,1.383,1.835,0.851,0.42,1.978,2.108,2.076
14,6,14,FALSE,2.972,2.98,2.928,2.185,2.663,2.007,1.701,2.193,1.853,1.819,0.251,0.207,0.544,0.959,1.087
15,1,1,TRUE,2.35,0.594,0.583,0.813,1.343,1.085,0.633,0.569,0.766,1.312,0.889,2.464,2.414,2.363,2.347
16,2,2,TRUE,2.928,0.422,0.576,0.66,0.974,1.94,0.76,0.569,0.64,1.17,0.218,2.898,2.296,2.258,2.477
17,3,3,TRUE,2.968,2.832,1.339,1.209,1.471,1.845,2.345,1.137,1.034,1.338,0.039,0.418,2.133,2.184,2.192
18,4,4,TRUE,2.966,2.975,2.963,1.571,1.81,1.745,2.162,2.201,1.88,2.047,0.136,0.117,0.29,2.33,2.288
19,6,5,FALSE,3.035,3.003,3.006,3.002,2.055,1.798,2.151,2.212,2.323,2.082,0.302,0.178,0.138,0.187,1.907
