,gesture,real,match,LR,FA1,2,3,4,5,FD1,2,3,4,5,HA1,2,3,4,5
1,1,1,True,R,2.248,0.488,0.539,0.517,0.368,1.204,0.47,0.515,0.514,0.462,1.054,2.1,2.103,2.432,2.617
2,2,2,True,R,3.073,0.163,0.407,0.453,0.52,1.983,0.392,0.398,0.448,0.67,0.239,2.967,2.148,2.203,2.448
3,3,3,True,R,3.047,2.897,0.944,0.935,1.156,1.888,2.233,0.854,0.82,1.115,0.063,0.46,2.114,1.929,1.888
4,4,4,True,R,3.023,3.002,2.978,0.903,1.083,1.64,2.144,2.272,1.104,1.277,0.169,0.21,0.293,1.933,1.806
5,5,5,True,R,3.061,2.99,3.044,3.004,1.359,1.778,2.188,2.203,2.238,1.979,0.261,0.15,0.102,0.136,2.089
6,6,6,True,R,2.993,3.0,2.939,3.019,3.062,1.857,2.259,2.319,2.286,2.285,0.239,0.241,0.145,0.078,0.069
7,7,7,True,R,1.804,2.985,3.07,3.024,3.016,0.664,2.347,2.399,2.448,2.344,1.477,0.3,0.171,0.195,0.083
8,8,8,True,R,2.439,0.993,2.876,2.99,3.048,0.951,1.219,2.279,2.385,2.48,0.904,1.853,0.117,0.107,0.129
9,9,9,True,R,2.51,0.382,0.993,2.975,2.975,0.718,0.764,1.208,1.905,2.378,0.896,2.724,2.219,0.307,0.102
10,10,10,True,R,2.509,1.008,1.138,0.867,2.813,1.012,1.227,1.586,1.218,2.136,0.915,2.261,2.346,2.403,0.115
11,11,11,True,R,1.947,2.984,3.012,1.156,1.131,0.627,2.165,2.392,1.362,1.289,1.332,0.316,0.287,2.057,1.966
12,12,12,True,R,3.024,3.07,1.296,1.19,2.97,1.776,2.245,1.696,1.623,2.295,0.425,0.428,2.488,2.422,0.237
13,13,13,True,R,2.377,3.007,1.375,1.396,1.231,0.864,2.127,1.528,1.551,1.516,0.868,0.381,2.064,2.088,1.905
14,14,14,True,R,2.033,2.925,3.05,2.968,1.612,0.521,2.29,2.402,2.47,1.998,1.268,0.218,0.097,0.146,2.022
