1,1,1,TRUE,R,2.384,1.068,1.136,1.241,1.744,1.023,1.104,1.035,1.136,1.332,0.813,2.269,2.307,2.457,2.291
2,2,2,TRUE,R,2.985,1.496,1.274,1.333,2.332,1.803,1.235,0.989,1.013,1.502,0.363,2.751,2.311,2.367,1.669
3,3,3,TRUE,R,2.766,2.723,2.516,1.939,2.167,1.949,2.171,1.405,1.151,1.284,0.215,0.365,1.784,1.956,1.9
4,4,4,TRUE,R,2.89,3.112,3.093,1.525,1.518,1.865,2.279,2.249,1.782,1.712,0.044,0.178,0.431,1.944,1.873
5,5,5,TRUE,R,3.05,3.108,3.085,2.932,1.704,1.937,2.291,2.279,1.817,1.355,0.27,0.17,0.11,0.253,1.06
6,6,6,TRUE,R,3.014,3.029,2.88,2.967,3.024,1.81,2.244,2.291,2.31,2.315,0.315,0.25,0.173,0.121,0.12
7,7,7,TRUE,R,2.005,3.073,2.936,2.98,3.095,1.103,2.268,2.308,2.362,2.326,1.178,0.195,0.11,0.049,0.136
8,8,8,TRUE,R,2.384,1.491,2.995,3.026,2.911,1.418,1.929,2.362,2.258,2.167,0.837,1.701,0.185,0.139,0.28
9,9,9,TRUE,R,2.292,0.912,1.347,2.933,2.946,0.872,1.28,1.454,1.908,2.132,1.007,2.177,1.887,0.299,0.329
10,10,10,TRUE,R,2.233,1.423,1.374,1.163,2.767,0.876,1.503,1.576,1.433,1.954,1.092,2.013,2.18,2.222,0.497
11,11,11,TRUE,R,2.041,3.017,2.994,1.155,1.2,0.796,2.291,2.201,1.376,1.294,1.231,0.315,0.454,2.17,1.977
12,12,12,TRUE,R,2.987,3.026,1.123,1.141,2.148,1.673,2.154,1.418,1.39,1.481,0.338,0.465,2.561,2.45,0.788
13,13,13,TRUE,R,2.322,3.027,1.574,1.616,2.065,1.032,2.172,1.532,1.526,1.804,0.882,0.462,2.264,2.373,2.21
14,14,14,TRUE,R,1.399,3.024,3.079,2.99,1.42,0.534,2.269,2.323,2.19,1.161,1.895,0.288,0.222,0.245,1.157
15,1,1,TRUE,R,2.305,1.091,1.108,1.222,1.718,1.053,1.114,1.024,1.128,1.444,0.898,2.356,2.432,2.485,2.325
16,2,2,TRUE,R,2.88,1.51,1.47,1.323,2.44,1.867,1.388,1.118,1.086,1.352,0.185,2.445,2.247,2.472,2.035
17,3,3,TRUE,R,2.803,2.837,2.171,1.904,2.158,1.947,2.228,1.471,1.198,1.295,0.214,0.279,1.831,1.933,1.977
18,4,4,TRUE,R,2.889,3.071,3.116,1.607,1.646,1.802,2.262,2.126,1.583,1.627,0.1,0.186,0.528,2.091,2.25
19,6,5,FALSE,R,3.054,3.074,3.067,2.44,2.03,1.905,2.295,2.298,1.664,1.699,0.196,0.117,0.08,0.541,1.118
20,6,6,TRUE,R,3.017,3.08,2.959,3.064,3.101,1.926,2.283,2.331,2.338,2.382,0.131,0.185,0.124,0.078,0.028
21,7,7,TRUE,R,2.003,3.118,3.064,3.085,3.03,1.15,2.23,2.276,2.31,2.226,1.153,0.102,0.077,0.054,0.084
22,8,8,TRUE,R,2.517,1.541,3.011,3.002,2.946,1.241,2.006,2.495,2.302,2.148,0.837,1.883,0.153,0.092,0.222
23,9,9,TRUE,R,2.383,0.835,1.162,2.936,2.968,0.905,1.425,1.269,2.024,2.148,0.883,2.347,1.942,0.147,0.199
24,10,10,TRUE,R,2.222,1.51,1.292,1.263,2.717,0.826,1.525,1.362,1.459,1.835,1.191,1.896,1.977,2.05,0.582
25,11,11,TRUE,R,1.991,2.962,2.868,1.289,1.347,0.785,2.277,2.294,1.405,1.368,1.291,0.256,0.293,1.957,1.852
