,gesture,real,match,LR,FA1,2,3,4,5,FD1,2,3,4,5,HA1,2,3,4,5
1,1,1,True,R,2.469,1.185,0.825,0.663,0.57,1.453,1.208,0.874,0.85,0.964,0.862,2.05,2.401,2.562,2.694
2,2,2,True,R,3.103,0.769,0.87,0.947,1.186,1.949,1.042,0.957,1.071,1.529,0.226,2.454,2.549,2.571,2.398
3,3,3,True,R,2.989,2.951,1.428,1.441,1.742,1.756,2.244,1.411,1.334,1.636,0.208,0.396,2.429,2.374,2.294
4,4,4,True,R,2.961,3.014,3.075,1.664,1.836,1.75,2.172,2.239,2.022,2.093,0.195,0.187,0.317,2.398,2.37
5,6,5,False,R,2.987,3.105,3.066,2.901,2.615,1.688,2.27,2.535,2.382,2.011,0.348,0.166,0.059,0.278,0.565
6,6,6,True,R,2.989,2.989,2.91,2.958,3.104,1.782,2.266,2.299,2.151,2.269,0.358,0.286,0.188,0.176,0.245
7,7,7,True,R,1.578,3.052,3.074,2.991,3.019,0.364,2.176,2.303,2.283,2.313,1.72,0.278,0.169,0.23,0.153
8,8,8,True,R,2.035,0.944,3.003,3.074,2.915,0.615,1.238,2.41,2.312,2.3,1.305,2.086,0.138,0.092,0.137
9,9,9,True,R,2.288,0.314,0.905,2.997,2.987,0.613,0.706,1.11,2.149,2.272,1.13,2.816,2.282,0.435,0.252
10,10,10,True,R,2.222,0.97,1.053,0.969,2.959,0.809,1.21,1.432,1.25,2.3,1.24,2.216,2.304,2.166,0.037
11,11,11,True,R,2.185,3.04,3.041,1.563,1.554,0.765,2.212,2.376,1.587,1.566,1.091,0.209,0.166,2.037,1.975
12,12,12,True,R,3.124,3.125,1.605,1.525,2.907,1.766,2.124,1.952,1.963,2.152,0.245,0.402,2.479,2.366,0.245
13,13,13,True,R,2.392,3.002,1.893,1.962,2.252,0.85,2.192,1.764,1.662,1.861,0.9,0.406,2.486,2.366,2.208
14,14,14,True,R,2.129,3.112,3.118,3.061,1.616,0.541,2.281,2.227,2.257,1.786,1.187,0.219,0.062,0.102,1.852
15,1,1,True,R,2.421,0.758,0.695,0.946,1.277,1.361,0.851,0.738,0.941,1.313,0.816,2.491,2.653,2.474,2.37
16,2,2,True,R,3.114,1.092,1.138,1.313,1.797,1.826,1.36,1.247,1.314,1.594,0.199,2.663,2.781,2.722,2.447
17,3,3,True,R,2.939,2.904,1.571,1.702,2.048,1.567,2.259,1.49,1.45,1.646,0.37,0.402,2.528,2.501,2.451
18,4,4,True,R,3.022,3.099,3.106,1.78,1.911,1.823,2.169,2.413,2.206,2.076,0.223,0.142,0.165,2.043,2.015
