,gesture,real,LR,match,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
1,1,1,R,True,0.6882278323173523,0.7221032381057739,-3.360553091624752e-05,0.6527382135391235,0.6643005609512329,-0.01995016075670719,0.6334012150764465,0.5908933281898499,-0.03692939132452011,0.6388266086578369,0.5253352522850037,-0.05873570963740349,0.6699576377868652,0.5003316402435303,-0.06610424816608429,0.6823182702064514,0.5409187078475952,0.018727561458945274,0.6709344387054443,0.5000464916229248,-0.03213096037507057,0.6634449362754822,0.5508842468261719,-0.031145907938480377,0.6724684238433838,0.5599362254142761,-0.0063958982937037945,0.7067574262619019,0.5525932908058167,0.009925673715770245,0.6938060522079468,0.5178189277648926,-0.06220598518848419,0.6805170178413391,0.5883312821388245,-0.051356539130210876,0.6963597536087036,0.5812789797782898,-0.005154566839337349,0.7308896780014038,0.573238730430603,-0.011378384195268154,0.7164210081100464,0.54575514793396,-0.07569808512926102,0.6987918019294739,0.610482931137085,-0.06552351266145706,0.7145185470581055,0.6066043376922607,-0.033366575837135315,0.7562263011932373,0.5975660085678101,-0.03671363741159439,0.7393076419830322,0.5724923610687256,-0.06553667038679123,0.7228688597679138,0.6173731088638306,-0.06706809252500534,0.7351884245872498,0.623714804649353,-0.05000786483287811
2,2,2,R,True,0.6765068173408508,0.7344769835472107,-5.186298949411139e-05,0.635877251625061,0.6767629981040955,-0.035063717514276505,0.6121100783348083,0.6006433367729187,-0.0548931285738945,0.5945566892623901,0.5375171303749084,-0.0729966014623642,0.5747217535972595,0.4949871301651001,-0.08538644015789032,0.6711111664772034,0.5479105114936829,-0.041351985186338425,0.6591169238090515,0.5229093432426453,-0.08542894572019577,0.6515910029411316,0.5803993940353394,-0.07639807462692261,0.6579409837722778,0.5949559807777405,-0.052150171250104904,0.7054610848426819,0.5650901794433594,-0.04005281627178192,0.687256395816803,0.5508608222007751,-0.10037621855735779,0.6728427410125732,0.6177960634231567,-0.08671718090772629,0.6844616532325745,0.6107088327407837,-0.05080995708703995,0.7335705161094666,0.5909825563430786,-0.04729418456554413,0.7170157432556152,0.5820805430412292,-0.10390432924032211,0.6945557594299316,0.6368218064308167,-0.08782549202442169,0.7019075155258179,0.6319570541381836,-0.057811617851257324,0.7582216262817383,0.6210533380508423,-0.05978774651885033,0.74555903673172,0.6130969524383545,-0.09114163368940353,0.7208881378173828,0.6476529240608215,-0.09155543893575668,0.7213243246078491,0.6486510038375854,-0.07501949369907379
3,3,3,R,True,0.6446977853775024,0.7296828627586365,-7.668713078601286e-05,0.6041187047958374,0.6853849291801453,-0.022381499409675598,0.5799925327301025,0.6058750152587891,-0.038754917681217194,0.5642396807670593,0.5424312353134155,-0.05683297663927078,0.5432441234588623,0.5006362199783325,-0.07420769333839417,0.6351253986358643,0.545231819152832,-0.025129659101366997,0.6357561349868774,0.48333290219306946,-0.07150079309940338,0.6390730738639832,0.4357980787754059,-0.1013818010687828,0.646251380443573,0.3860844671726227,-0.1210804358124733,0.6705087423324585,0.5593241453170776,-0.03322506695985794,0.651397168636322,0.5488421320915222,-0.09575344622135162,0.633994996547699,0.6105628609657288,-0.0932835265994072,0.6416058540344238,0.6202208399772644,-0.07264503836631775,0.7000064849853516,0.5858557224273682,-0.050216175615787506,0.6795966625213623,0.5839765667915344,-0.10936632007360458,0.6581058502197266,0.6348598003387451,-0.10225960612297058,0.6651818752288818,0.6377400159835815,-0.08363340049982071,0.7267347574234009,0.6186094880104065,-0.07043878734111786,0.7065783143043518,0.6165107488632202,-0.10726580023765564,0.6825453042984009,0.6507007479667664,-0.10548675060272217,0.6859031319618225,0.6525629758834839,-0.09566854685544968
4,4,4,R,True,0.6290711760520935,0.723339855670929,-3.1651699828216806e-05,0.5843158960342407,0.6739078760147095,-0.014578555710613728,0.5617971420288086,0.5982794165611267,-0.023963022977113724,0.5499716997146606,0.5418746471405029,-0.04046626389026642,0.5351340174674988,0.49989670515060425,-0.05529823154211044,0.6144207119941711,0.5345444679260254,-0.031437262892723083,0.6126787662506104,0.45963746309280396,-0.05936707928776741,0.6128439903259277,0.415305495262146,-0.07531989365816116,0.6169089078903198,0.37317579984664917,-0.08518946170806885,0.6472803354263306,0.5528889298439026,-0.043137673288583755,0.6711702346801758,0.4805851876735687,-0.07905317842960358,0.6866313219070435,0.43412867188453674,-0.10338769853115082,0.7062757015228271,0.3918386697769165,-0.11899875849485397,0.671621561050415,0.5861483812332153,-0.05570131167769432,0.6723530292510986,0.5701611042022705,-0.10141336917877197,0.6423634886741638,0.6111796498298645,-0.10337092727422714,0.6297034025192261,0.6324406266212463,-0.09474289417266846,0.693253219127655,0.6231815814971924,-0.06909605860710144,0.6891478300094604,0.6124524474143982,-0.10319565236568451,0.6644591093063354,0.6420568227767944,-0.10723414272069931,0.652523934841156,0.6572061777114868,-0.1018117293715477
5,5,5,R,True,0.6082104444503784,0.723269522190094,-7.09613086655736e-05,0.5656605362892151,0.6753748059272766,-0.015054329298436642,0.5462314486503601,0.6000109910964966,-0.025845492258667946,0.5380974411964417,0.545717179775238,-0.03886963799595833,0.5288557410240173,0.49494361877441406,-0.051787856966257095,0.5974627733230591,0.5367965698242188,-0.03329664468765259,0.5914250612258911,0.46461009979248047,-0.059515323489904404,0.5919371843338013,0.42044728994369507,-0.07910044491291046,0.595621645450592,0.3795923590660095,-0.08829225599765778,0.6308728456497192,0.5467693209648132,-0.04766233265399933,0.643011212348938,0.4613625109195709,-0.07735341042280197,0.6542564630508423,0.4074796438217163,-0.10314962267875671,0.6685910820960999,0.36441725492477417,-0.11800120770931244,0.6536552906036377,0.5749641060829163,-0.0628492459654808,0.6724978089332581,0.5094582438468933,-0.0953739657998085,0.6882673501968384,0.46063488721847534,-0.11479127407073975,0.7038983106613159,0.4168217182159424,-0.12930984795093536,0.6706842184066772,0.615161657333374,-0.07766461372375488,0.6607273817062378,0.5966651439666748,-0.11472095549106598,0.6394336819648743,0.6251968145370483,-0.12530550360679626,0.6268757581710815,0.6518957018852234,-0.12603063881397247
6,6,6,R,True,0.6117917895317078,0.7134732604026794,-6.106653017923236e-05,0.5654181838035583,0.6640329360961914,-0.01852813921868801,0.543806791305542,0.5958008766174316,-0.0324038490653038,0.5359717011451721,0.5367326736450195,-0.04731957986950874,0.5228689312934875,0.4918653964996338,-0.06608474999666214,0.5955436825752258,0.5377046465873718,-0.04119409620761871,0.5945360660552979,0.4616279602050781,-0.06981493532657623,0.5963877439498901,0.4148332476615906,-0.09259061515331268,0.6007425785064697,0.3748997747898102,-0.10668651759624481,0.6302164196968079,0.5445288419723511,-0.04865872114896774,0.6450622081756592,0.4608314335346222,-0.07026472687721252,0.6549010872840881,0.4076090455055237,-0.09578491747379303,0.6658228039741516,0.3623344600200653,-0.1160796657204628,0.6589115858078003,0.5660439729690552,-0.056098345667123795,0.6827384829521179,0.49399951100349426,-0.07994410395622253,0.6974146962165833,0.445681095123291,-0.10559035837650299,0.7104337811470032,0.4035407304763794,-0.1254769265651703,0.683104395866394,0.599545419216156,-0.06365180015563965,0.7175471186637878,0.5551188588142395,-0.08620720356702805,0.7383294701576233,0.5251902341842651,-0.10641763359308243,0.7568768262863159,0.4950067698955536,-0.12275120615959167
7,7,7,R,True,0.6098061203956604,0.7199137210845947,-9.455261897528544e-05,0.5764005780220032,0.676839292049408,-0.034280866384506226,0.567351758480072,0.5994522571563721,-0.053996939212083817,0.6075918674468994,0.5680472254753113,-0.07274583727121353,0.6420190334320068,0.5929330587387085,-0.085094153881073,0.5974120497703552,0.54473477602005,-0.02073753997683525,0.5861613750457764,0.4804321229457855,-0.05064073204994202,0.5815442204475403,0.4367057681083679,-0.06910178065299988,0.5818266272544861,0.3994594216346741,-0.08128862828016281,0.6296705603599548,0.5443286895751953,-0.025203831493854523,0.6343018412590027,0.46840915083885193,-0.04773718863725662,0.6372551321983337,0.4110702872276306,-0.06869232654571533,0.6443841457366943,0.3662748336791992,-0.07989589124917984,0.6552525758743286,0.5624057650566101,-0.03362104296684265,0.6739819645881653,0.4974609315395355,-0.05786922946572304,0.6818172335624695,0.44722795486450195,-0.08350299298763275,0.6912484169006348,0.4038756787776947,-0.09651412814855576,0.6758360862731934,0.5944556593894958,-0.04811940714716911,0.7008101940155029,0.5455792546272278,-0.07230042666196823,0.7151849269866943,0.5095614790916443,-0.08860882371664047,0.7304093241691589,0.4729500412940979,-0.09554547816514969
8,8,8,R,True,0.6065303683280945,0.7288113832473755,-8.388904825551435e-05,0.5748770236968994,0.6838019490242004,-0.01357730757445097,0.5669870972633362,0.6180775761604309,-0.020659873262047768,0.5779314041137695,0.5769297480583191,-0.03298090398311615,0.5968573093414307,0.5547722578048706,-0.045990489423274994,0.5923067927360535,0.5626317262649536,0.001655178377404809,0.5808194875717163,0.5177497863769531,-0.02487216703593731,0.5780013799667358,0.553789496421814,-0.047361571341753006,0.5813705921173096,0.5921615958213806,-0.0587337464094162,0.6206054091453552,0.5552513599395752,-0.006754174828529358,0.6143123507499695,0.49231085181236267,-0.01093060802668333,0.607896625995636,0.4508623778820038,-0.024760089814662933,0.6036110520362854,0.41363972425460815,-0.03852199390530586,0.6486970782279968,0.5639944672584534,-0.021825799718499184,0.6638585925102234,0.4993542432785034,-0.03067651391029358,0.668274998664856,0.4531298279762268,-0.042844705283641815,0.6702884435653687,0.4101603031158447,-0.054972607642412186,0.6732595562934875,0.5871624946594238,-0.03947659209370613,0.695927619934082,0.538811445236206,-0.04935368523001671,0.7073682546615601,0.5057560205459595,-0.05016442388296127,0.7168096303939819,0.4669245481491089,-0.05003463104367256
9,9,9,R,True,0.6028494834899902,0.7209633588790894,-0.00011461408575996757,0.5707447528839111,0.6849340200424194,0.002842032117769122,0.5680475831031799,0.6072461605072021,0.0068688346073031425,0.5854484438896179,0.5665026903152466,0.000640697602648288,0.6062246561050415,0.5410525798797607,-0.00891504343599081,0.5866726636886597,0.5568779706954956,0.0332149975001812,0.5829034447669983,0.512887179851532,0.02213931456208229,0.5747673511505127,0.550690233707428,0.018582964316010475,0.5696682929992676,0.5834245681762695,0.02406688779592514,0.6117627024650574,0.5605438947677612,0.012238136492669582,0.6020854711532593,0.5108943581581116,-0.03086482733488083,0.5846267342567444,0.5510483384132385,-0.06059938669204712,0.5739491581916809,0.5872318148612976,-0.06268518418073654,0.6383947730064392,0.5693153738975525,-0.011058976873755455,0.644479513168335,0.5070330500602722,-0.04004540294408798,0.6394243836402893,0.4702998399734497,-0.0637885257601738,0.6342330574989319,0.4313894212245941,-0.07121642678976059,0.6647406220436096,0.587764322757721,-0.03376385569572449,0.6917222738265991,0.5419641137123108,-0.045423854142427444,0.704204797744751,0.510910153388977,-0.04653853550553322,0.713151752948761,0.4734768271446228,-0.04277026280760765
10,10,10,R,True,0.6016096472740173,0.7035982608795166,-0.0001435400772606954,0.5662767291069031,0.6596558094024658,0.017757941037416458,0.5626850724220276,0.5865108370780945,0.03770484775304794,0.5800873041152954,0.5487939715385437,0.045877277851104736,0.5957373976707458,0.5213189721107483,0.052513737231492996,0.5817314386367798,0.5470134019851685,0.02500595897436142,0.5817031264305115,0.508284866809845,-0.008324002847075462,0.5718435049057007,0.5440708994865417,-0.022624753415584564,0.5649257898330688,0.5807156562805176,-0.015553789213299751,0.6074928045272827,0.556123673915863,0.007150971330702305,0.6054194569587708,0.5157129764556885,-0.03238422051072121,0.5883519649505615,0.5613459944725037,-0.04732326418161392,0.5789183974266052,0.6017618179321289,-0.04610905796289444,0.6353331208229065,0.570673942565918,-0.015464222989976406,0.6308464407920837,0.5316190719604492,-0.05221373960375786,0.608985424041748,0.5733097791671753,-0.05716367065906525,0.595076322555542,0.6113593578338623,-0.04846486449241638,0.6641917824745178,0.5834860801696777,-0.03657589107751846,0.6870324015617371,0.5315654277801514,-0.054753486067056656,0.6977396011352539,0.49772870540618896,-0.05857207253575325,0.7071073055267334,0.4600479006767273,-0.05625808238983154
